Order Date,Ship Date,Category,Sub-Category,Sales,Quantity,Discount,Profit,,Sales,Sum of Profit,,,,,,,,
12-10-2016,16-10-2016,Office Supplies,Art,14.9,5,0,4.172,,2.286,-3.6576,,Sales,,,,4128.664508,Average profit per month,
12-10-2016,16-10-2016,Office Supplies,Storage,21.39,1,0,6.2031,,2.368,0.8288,,,,,,135.3660495,Average profit per day,
01-08-2016,03-08-2016,Office Supplies,Binders,19.752,3,0.2,6.9132,,2.394,-6.3441,,Mean,242.9741586,,,40353.95818,Average sales per month,
01-08-2016,06-08-2016,Office Supplies,Fasteners,5.68,2,0.2,1.917,,2.502,-3.753,,Standard Error,16.89073034,,,1323.080596,Average sales per day,
01-08-2016,05-08-2016,Furniture,Furnishings,44.128,4,0.2,12.1352,,2.52,0.882,,Median,51.968,,,,,
02-08-2016,08-08-2016,Technology,Accessories,21.2,2,0,9.116,,2.6,0.2925,,Mode,15.552,,,,,
04-01-2016,08-01-2016,Office Supplies,Binders,3.54,2,0.8,-5.487,,2.624,0.7216,,Standard Deviation,754.0533573,,,,,
05-01-2016,12-01-2016,Office Supplies,Art,19.536,3,0.2,4.884,,2.672,0.334,,Sample Variance,568596.4656,,,,,
06-01-2016,10-01-2016,Furniture,Chairs,2573.82,9,0,746.4078,,2.688,1.848,,Kurtosis,418.7905696,,,,,
06-01-2016,08-01-2016,Office Supplies,Paper,19.44,3,0,9.3312,,2.724,-4.3584,,Skewness,16.43427733,,,,,
08-09-2016,12-09-2016,Office Supplies,Art,9.936,3,0.2,2.7324,,2.816,0.9856,,Range,22637.628,,,,,
08-09-2016,12-09-2016,Technology,Machines,8159.952,8,0.4,-1359.992,,2.84,0.8804,,Minimum,0.852,,,,,
08-09-2016,12-09-2016,Office Supplies,Storage,275.928,3,0.2,-58.6347,,2.862,-2.2896,,Maximum,22638.48,,,,,
06-01-2016,07-01-2016,Office Supplies,Art,12.78,3,0,5.2398,,2.88,1.4112,,Sum,484247.4981,,,,,
08-09-2016,12-09-2016,Office Supplies,Art,32.064,6,0.2,6.8136,,2.89,1.3583,,Count,1993,,,,,
08-09-2016,12-09-2016,Office Supplies,Appliances,177.98,5,0.8,-453.849,,2.892,-4.9164,,,,,,,,
08-09-2016,12-09-2016,Technology,Phones,143.976,3,0.2,8.9985,,2.896,0.4706,,,,,,,,
02-08-2016,08-08-2016,Office Supplies,Binders,26.7,5,0,12.549,,2.92,-4.818,,Quantity,,,,Profit,,
02-08-2016,08-08-2016,Office Supplies,Storage,838.38,2,0,226.3626,,2.92,0.365,,,,,,,,
06-01-2016,10-01-2016,Office Supplies,Binders,609.98,2,0,274.491,,2.94,0.7938,,Mean,3.803813347,,,Mean,24.85899353,
14-09-2016,19-09-2016,Office Supplies,Appliances,52.448,2,0.8,-131.12,,2.946,-4.8609,,Standard Error,0.050224057,,,Standard Error,4.456052411,
14-09-2016,19-09-2016,Office Supplies,Labels,20.16,4,0.2,6.552,,2.952,0.9963,,Median,3,,,Median,8.217,
05-12-2016,09-12-2016,Office Supplies,Storage,24.816,2,0.2,1.8612,,2.97,1.3068,,Mode,3,,,Mode,0,
06-01-2016,10-01-2016,Office Supplies,Art,5.48,2,0,1.4796,,2.992,1.122,,Standard Deviation,2.242153993,,,Standard Deviation,198.9316751,
19-11-2016,24-11-2016,Technology,Phones,503.96,4,0,131.0296,,3.104,0.3492,,Sample Variance,5.027254527,,,Sample Variance,39573.81135,
19-11-2016,24-11-2016,Technology,Phones,149.95,5,0,41.986,,3.132,-2.61,,Kurtosis,2.462504772,,,Kurtosis,227.736746,
06-01-2016,10-01-2016,Technology,Phones,391.98,2,0,113.6742,,3.15,1.512,,Skewness,1.389505163,,,Skewness,3.956156945,
06-01-2016,10-01-2016,Technology,Phones,755.96,4,0,204.1092,,3.152,0.4728,,Range,13,,,Range,8332.3683,
21-03-2016,25-03-2016,Office Supplies,Art,7.408,2,0.2,1.2038,,3.16,-8.532,,Minimum,1,,,Minimum,-3701.8928,
21-03-2016,25-03-2016,Office Supplies,Art,6.048,3,0.2,1.5876,,3.168,-2.4288,,Maximum,14,,,Maximum,4630.4755,
06-01-2016,10-01-2016,Office Supplies,Fasteners,31.12,4,0,0.3112,,3.264,1.1016,,Sum,7581,,,Sum,49543.9741,
03-08-2016,05-08-2016,Office Supplies,Appliances,2.6,1,0.2,0.2925,,3.282,-2.6256,,Count,1993,,,Count,1993,
13-09-2016,17-09-2016,Office Supplies,Binders,18.648,7,0.7,-12.432,,3.36,0.84,,,,,,,,
06-01-2016,10-01-2016,Office Supplies,Paper,6.54,1,0,3.0084,,3.38,2.8054,,,,,,,,
01-06-2016,06-06-2016,Office Supplies,Storage,166.72,2,0,41.68,,3.392,-5.088,,,,,,,,
01-06-2016,06-06-2016,Office Supplies,Paper,47.88,6,0,23.94,,3.392,0.8056,,,,,,,,
01-06-2016,06-06-2016,Office Supplies,Appliances,1503.25,5,0,496.0725,,3.424,1.07,,,,,,,,
01-06-2016,06-06-2016,Office Supplies,Paper,25.92,4,0,12.4416,,3.438,-2.5212,,,,,,,,
19-09-2016,21-09-2016,Technology,Machines,3059.982,3,0.4,-509.997,,3.48,1.1136,,,,,,,,
19-09-2016,21-09-2016,Technology,Machines,2519.958,7,0.4,-251.9958,,3.488,1.744,,,,,,,,
07-01-2016,12-01-2016,Furniture,Furnishings,76.728,3,0.6,-53.7096,,3.52,3.3792,,,,,,,,
07-01-2016,12-01-2016,Office Supplies,Binders,10.43,7,0.8,-18.2525,,3.54,-5.487,,,,,,,,
09-01-2016,13-01-2016,Technology,Accessories,31.2,3,0.2,9.75,,3.648,-6.0192,,,,,,,,
26-12-2016,28-12-2016,Office Supplies,Binders,78.6,5,0.7,-62.88,,3.69,1.7343,,,,,,,,
26-12-2016,28-12-2016,Office Supplies,Fasteners,27.552,3,0.2,9.2988,,3.76,2.4064,,,,,,,,
30-12-2016,04-01-2017,Office Supplies,Art,9.84,3,0,2.8536,,3.808,1.2376,,,,,,,,
01-06-2016,06-06-2016,Office Supplies,Binders,45.48,3,0,20.9208,,3.81,1.8288,,,,,,,,
01-06-2016,06-06-2016,Office Supplies,Art,289.2,6,0,83.868,,3.828,-6.5076,,,,,,,,
09-01-2016,13-01-2016,Office Supplies,Art,9.344,2,0.2,1.168,,3.9,1.521,,,,,,,,
03-08-2016,08-08-2016,Office Supplies,Paper,39.96,2,0,18.7812,,3.912,1.0269,,,,,,,,
03-08-2016,08-08-2016,Office Supplies,Supplies,102.3,10,0,26.598,,3.928,1.3257,,,,,,,,
28-12-2016,30-12-2016,Office Supplies,Art,99.136,4,0.2,8.6744,,3.984,3.486,,,,,,,,
10-01-2016,15-01-2016,Furniture,Furnishings,51.94,1,0,21.2954,,4.02,1.9698,,,,,,,,
04-11-2016,09-11-2016,Technology,Machines,3991.98,2,0,1995.99,,4.032,1.0584,,,,,,,,
04-11-2016,09-11-2016,Technology,Phones,275.94,6,0,80.0226,,4.13,1.1564,,,,,,,,
01-02-2016,03-02-2016,Technology,Accessories,468.9,6,0,206.316,,4.224,3.2208,,,,,,,,
04-11-2016,09-11-2016,Office Supplies,Storage,43.57,1,0,13.071,,4.272,0.9612,,,,,,,,
19-09-2016,24-09-2016,Office Supplies,Fasteners,7.16,2,0,3.58,,4.32,1.512,,,,,,,,
01-07-2016,06-07-2016,Office Supplies,Binders,19.92,5,0.2,6.972,,4.344,0.8688,,,,,,,,
10-01-2016,15-01-2016,Office Supplies,Labels,2.89,1,0,1.3583,,4.368,0.3822,,,,,,,,
13-04-2016,17-04-2016,Office Supplies,Art,17.856,4,0.2,1.116,,4.428,-6.8634,,,,,,,,
13-04-2016,17-04-2016,Office Supplies,Binders,509.97,10,0.7,-407.976,,4.448,0.3336,,,,,,,,
13-04-2016,17-04-2016,Office Supplies,Fasteners,30.992,13,0.2,10.0724,,4.464,-0.9486,,,,,,,,
13-04-2016,17-04-2016,Technology,Phones,71.928,12,0.4,8.3916,,4.56,2.0064,,,,,,,,
24-09-2016,29-09-2016,Office Supplies,Storage,211.96,4,0,8.4784,,4.6,-8.05,,,,,,,,
01-07-2016,05-07-2016,Technology,Phones,575.92,2,0.2,71.99,,4.608,1.6704,,,,,,,,
07-02-2016,12-02-2016,Technology,Accessories,115.36,7,0,49.6048,,4.624,1.6762,,,,,,,,
01-07-2016,05-07-2016,Office Supplies,Binders,5.184,6,0.7,-3.6288,,4.672,1.46,,,,,,,,
11-02-2016,15-02-2016,Technology,Accessories,234.45,3,0,103.158,,4.71,0,,,,,,,,
24-11-2016,26-11-2016,Office Supplies,Art,2.624,1,0.2,0.4264,,4.72,1.652,,,,,,,,
21-09-2016,23-09-2016,Technology,Phones,246.384,2,0.2,27.7182,,4.812,-3.6892,,,,,,,,
21-09-2016,23-09-2016,Technology,Copiers,1799.97,3,0,701.9883,,4.832,1.6308,,,,,,,,
07-06-2016,10-06-2016,Office Supplies,Binders,12.462,3,0.8,-20.5623,,4.836,-12.09,,,,,,,,
24-12-2016,26-12-2016,Office Supplies,Paper,9.568,2,0.2,3.4684,,4.928,1.7248,,,,,,,,
16-04-2016,20-04-2016,Office Supplies,Art,39.072,6,0.2,9.768,,4.984,-8.4728,,,,,,,,
14-02-2016,18-02-2016,Technology,Accessories,239.97,3,0,86.3892,,4.992,-12.9792,,,,,,,,
12-09-2016,13-09-2016,Technology,Machines,69.99,1,0,30.0957,,4.992,1.3728,,,,,,,,
19-12-2016,25-12-2016,Office Supplies,Binders,4.812,2,0.7,-3.6892,,5.04,1.9152,,,,,,,,
20-02-2016,26-02-2016,Technology,Accessories,62.31,3,0,22.4316,,5.104,-8.6768,,,,,,,,
11-01-2016,14-01-2016,Furniture,Furnishings,9.94,2,0,3.0814,,5.18,-8.029,,,,,,,,
09-11-2016,11-11-2016,Office Supplies,Storage,340.92,3,0,3.4092,,5.184,0.0648,,,,,,,,
13-01-2016,16-01-2016,Furniture,Chairs,545.94,6,0,87.3504,,5.214,-4.1712,,,,,,,,
09-11-2016,11-11-2016,Technology,Phones,703.968,4,0.2,87.996,,5.22,2.4012,,,,,,,,
09-11-2016,11-11-2016,Office Supplies,Storage,92.52,6,0,24.9804,,5.248,2.0992,,,,,,,,
09-11-2016,11-11-2016,Office Supplies,Paper,62.65,7,0,28.819,,5.312,-1.5936,,,,,,,,
09-11-2016,11-11-2016,Office Supplies,Paper,94.85,5,0,45.528,,5.34,1.4952,,,,,,,,
02-03-2016,06-03-2016,Technology,Accessories,151.2,3,0.2,32.13,,5.46,2.9484,,,,,,,,
02-07-2016,06-07-2016,Technology,Phones,73.98,2,0,19.9746,,5.47,2.3521,,,,,,,,
05-03-2016,08-03-2016,Technology,Accessories,479.97,3,0,177.5889,,5.472,1.8468,,,,,,,,
29-10-2016,31-10-2016,Technology,Phones,2735.952,6,0.2,341.994,,5.48,1.4796,,,,,,,,
09-06-2016,13-06-2016,Technology,Phones,7.992,1,0.2,0.5994,,5.484,-4.0216,,,,,,,,
11-03-2016,13-03-2016,Technology,Accessories,32.96,2,0,14.1728,,5.544,1.6632,,,,,,,,
09-06-2016,13-06-2016,Office Supplies,Art,70.368,2,0.2,6.1572,,5.552,-1.041,,,,,,,,
14-09-2016,19-09-2016,Office Supplies,Storage,449.15,5,0,8.983,,5.56,2.224,,,,,,,,
14-09-2016,19-09-2016,Office Supplies,Envelopes,11.07,3,0,5.0922,,5.58,2.1762,,,,,,,,
14-03-2016,19-03-2016,Technology,Accessories,82.8,12,0,6.624,,5.64,4.3428,,,,,,,,
19-03-2016,21-03-2016,Technology,Accessories,170.24,2,0.2,53.2,,5.67,0.1134,,,,,,,,
11-05-2016,16-05-2016,Technology,Phones,100.792,1,0.2,6.2995,,5.68,1.917,,,,,,,,
13-01-2016,18-01-2016,Furniture,Bookcases,333.999,3,0.15,3.9294,,5.7,2.679,,,,,,,,
03-03-2016,07-03-2016,Office Supplies,Art,19.456,4,0.2,3.4048,,5.742,-4.5936,,,,,,,,
14-09-2016,18-09-2016,Office Supplies,Appliances,13,5,0.2,1.3,,5.76,2.8224,,,,,,,,
08-02-2016,09-02-2016,Furniture,Furnishings,14.56,2,0,5.5328,,5.78,2.7166,,,,,,,,
13-01-2016,15-01-2016,Technology,Accessories,646.74,6,0,258.696,,5.88,4.6305,,,,,,,,
25-03-2016,30-03-2016,Technology,Accessories,45.48,4,0,15.918,,5.892,-4.1244,,,,,,,,
03-08-2016,08-08-2016,Office Supplies,Storage,21.36,2,0,5.7672,,5.904,1.9926,,,,,,,,
03-08-2016,05-08-2016,Office Supplies,Paper,93.024,3,0.2,33.7212,,5.92,2.8416,,,,,,,,
03-08-2016,05-08-2016,Furniture,Tables,218.75,2,0.5,-161.875,,5.94,1.6038,,,,,,,,
11-02-2016,15-02-2016,Furniture,Tables,1256.22,6,0,75.3732,,5.95,0.833,,,,,,,,
15-03-2016,19-03-2016,Office Supplies,Storage,142.776,1,0.2,17.847,,5.96,1.6688,,,,,,,,
11-02-2016,15-02-2016,Furniture,Chairs,60.89,1,0,15.2225,,5.97,-4.577,,,,,,,,
15-03-2016,19-03-2016,Office Supplies,Binders,7.218,3,0.7,-5.5338,,5.98,2.691,,,,,,,,
15-03-2016,19-03-2016,Office Supplies,Binders,43.188,4,0.7,-31.6712,,6.048,0.2268,,,,,,,,
15-03-2016,19-03-2016,Office Supplies,Paper,131.904,3,0.2,47.8152,,6.08,3.04,,,,,,,,
23-05-2016,27-05-2016,Office Supplies,Binders,3.282,2,0.7,-2.6256,,6.096,-1.7526,,,,,,,,
23-05-2016,27-05-2016,Office Supplies,Art,21.168,9,0.2,2.3814,,6.12,2.8764,,,,,,,,
23-05-2016,27-05-2016,Technology,Phones,55.188,2,0.4,-10.1178,,6.16,4.928,,,,,,,,
26-12-2016,31-12-2016,Office Supplies,Binders,8.69,5,0.8,-14.773,,6.192,0.4644,,,,,,,,
11-02-2016,15-02-2016,Furniture,Furnishings,332.94,3,0,53.2704,,6.24,6.2244,,,,,,,,
26-03-2016,30-03-2016,Technology,Accessories,66.3,3,0,8.619,,6.28,2.7004,,,,,,,,
02-07-2016,06-07-2016,Office Supplies,Art,5.58,1,0,2.1762,,6.368,-2.5472,,,,,,,,
04-07-2016,07-07-2016,Office Supplies,Paper,177.536,4,0.2,62.1376,,6.456,-4.5192,,,,,,,,
12-02-2016,18-02-2016,Furniture,Chairs,129.568,2,0.2,-24.294,,6.48,9.396,,,,,,,,
21-06-2016,23-06-2016,Technology,Phones,284.82,1,0,74.0532,,6.528,-4.5696,,,,,,,,
21-06-2016,23-06-2016,Office Supplies,Storage,36.84,3,0,10.3152,,6.54,3.0084,,,,,,,,
12-09-2016,17-09-2016,Office Supplies,Paper,10.368,2,0.2,3.6288,,6.54,2.6814,,,,,,,,
12-09-2016,17-09-2016,Office Supplies,Appliances,166.84,5,0.2,18.7695,,6.56,3.8048,,,,,,,,
31-03-2016,04-04-2016,Technology,Accessories,79.984,2,0.2,13.9972,,6.57,-5.037,,,,,,,,
03-04-2016,08-04-2016,Technology,Accessories,62.31,3,0,22.4316,,6.58,3.0268,,,,,,,,
18-02-2016,18-02-2016,Furniture,Furnishings,25.16,5,0.6,-11.322,,6.6,2.904,,,,,,,,
02-12-2016,04-12-2016,Office Supplies,Binders,46.72,8,0.2,15.768,,6.63,1.7901,,,,,,,,
05-04-2016,07-04-2016,Office Supplies,Paper,55.48,1,0,26.6304,,6.642,-4.428,,,,,,,,
04-07-2016,07-07-2016,Office Supplies,Appliances,32.432,2,0.2,3.2432,,6.72,3.36,,,,,,,,
20-02-2016,26-02-2016,Furniture,Furnishings,20.32,4,0,6.9088,,6.8,0.51,,,,,,,,
02-06-2016,07-06-2016,Office Supplies,Binders,59.808,3,0.2,19.4376,,6.848,2.14,,,,,,,,
01-03-2016,06-03-2016,Furniture,Chairs,457.568,2,0.2,51.4764,,6.912,4.8384,,,,,,,,
01-03-2016,05-03-2016,Furniture,Chairs,634.116,6,0.3,-172.1172,,6.928,-11.0848,,,,,,,,
03-04-2016,08-04-2016,Technology,Accessories,159.98,2,0,57.5928,,6.936,2.3409,,,,,,,,
13-01-2016,15-01-2016,Office Supplies,Envelopes,11.36,2,0,5.3392,,7.08,2.478,,,,,,,,
13-01-2016,15-01-2016,Office Supplies,Envelopes,50.94,3,0,25.47,,7.104,2.3976,,,,,,,,
13-01-2016,15-01-2016,Office Supplies,Binders,5.64,3,0,2.7072,,7.16,6.9273,,,,,,,,
01-03-2016,05-03-2016,Furniture,Chairs,362.25,6,0.3,0,,7.184,4.49,,,,,,,,
27-05-2016,27-05-2016,Office Supplies,Storage,359.32,4,0,7.1864,,7.218,-5.5338,,,,,,,,
29-12-2016,02-01-2017,Office Supplies,Storage,24.56,2,0,6.8768,,7.27,1.9629,,,,,,,,
04-04-2016,08-04-2016,Technology,Accessories,99.98,2,0,42.9914,,7.28,1.9656,,,,,,,,
13-01-2016,15-01-2016,Office Supplies,Storage,572.58,6,0,34.3548,,7.3,4.38,,,,,,,,
13-01-2016,18-01-2016,Office Supplies,Storage,1325.85,5,0,238.653,,7.31,3.4357,,,,,,,,
06-04-2016,08-04-2016,Technology,Accessories,116.784,2,0.2,21.897,,7.312,2.5592,,,,,,,,
13-01-2016,18-01-2016,Office Supplies,Art,19.9,5,0,6.567,,7.36,0.2944,,,,,,,,
13-01-2016,18-01-2016,Office Supplies,Paper,37.408,7,0.2,13.0928,,7.408,1.2038,,,,,,,,
01-03-2016,05-03-2016,Furniture,Furnishings,63.552,6,0.6,-34.9536,,7.44,2.604,,,,,,,,
29-06-2016,06-07-2016,Office Supplies,Art,32.76,7,0.2,3.6855,,7.488,-5.2416,,,,,,,,
20-09-2016,26-09-2016,Office Supplies,Labels,9.96,2,0,4.5816,,7.52,1.41,,,,,,,,
20-09-2016,26-09-2016,Office Supplies,Paper,21.72,4,0,10.6428,,7.632,-1.8126,,,,,,,,
01-11-2016,07-11-2016,Office Supplies,Art,43.176,3,0.2,4.3176,,7.64,3.7436,,,,,,,,
01-11-2016,07-11-2016,Technology,Phones,1983.968,4,0.2,247.996,,7.644,-5.8604,,,,,,,,
13-10-2016,15-10-2016,Office Supplies,Art,11.52,4,0,3.2256,,7.68,-11.52,,,,,,,,
01-03-2016,07-03-2016,Furniture,Tables,376.509,3,0.3,-43.0296,,7.712,2.7956,,,,,,,,
13-10-2016,15-10-2016,Office Supplies,Appliances,213.92,4,0,62.0368,,7.752,2.8101,,,,,,,,
06-04-2016,12-04-2016,Technology,Accessories,33.9,2,0,2.034,,7.78,2.0228,,,,,,,,
28-06-2016,02-07-2016,Office Supplies,Paper,41.472,8,0.2,14.5152,,7.83,3.6018,,,,,,,,
28-06-2016,02-07-2016,Office Supplies,Binders,3.168,3,0.7,-2.4288,,7.856,2.8478,,,,,,,,
03-03-2016,08-03-2016,Furniture,Bookcases,302.45,5,0.5,-199.617,,7.86,3.6156,,,,,,,,
28-06-2016,02-07-2016,Office Supplies,Binders,31.086,3,0.7,-22.7964,,7.872,0.8856,,,,,,,,
28-06-2016,02-07-2016,Office Supplies,Paper,335.52,4,0.2,117.432,,7.96,-13.93,,,,,,,,
06-04-2016,10-04-2016,Technology,Accessories,299.97,3,0,131.9868,,7.968,2.8884,,,,,,,,
08-04-2016,12-04-2016,Technology,Accessories,399.96,4,0,139.986,,7.98,2.0748,,,,,,,,
08-09-2016,13-09-2016,Office Supplies,Binders,51.184,4,0.8,-79.3352,,7.992,0.5994,,,,,,,,
11-04-2016,13-04-2016,Technology,Accessories,383.976,3,0.2,81.5949,,8,3.84,,,,,,,,
04-08-2016,09-08-2016,Office Supplies,Appliances,1089.75,3,0,305.13,,8.016,2.1042,,,,,,,,
04-08-2016,09-08-2016,Office Supplies,Paper,447.84,8,0,219.4416,,8.128,1.4224,,,,,,,,
04-08-2016,09-08-2016,Office Supplies,Art,16.4,5,0,4.264,,8.134,-13.8278,,,,,,,,
09-06-2016,16-06-2016,Office Supplies,Supplies,7.36,2,0,0.1472,,8.16,-5.712,,,,,,,,
09-06-2016,16-06-2016,Office Supplies,Art,23.1,2,0,10.626,,8.226,-6.0324,,,,,,,,
13-01-2016,18-01-2016,Office Supplies,Binders,3.438,2,0.7,-2.5212,,8.288,2.6936,,,,,,,,
03-03-2016,07-03-2016,Furniture,Tables,626.352,3,0.2,-23.4882,,8.32,2.288,,,,,,,,
06-04-2016,10-04-2016,Office Supplies,Binders,44.91,6,0.7,-35.928,,8.376,2.7222,,,,,,,,
10-12-2016,15-12-2016,Office Supplies,Paper,11.36,2,0,5.2256,,8.448,8.2368,,,,,,,,
10-12-2016,15-12-2016,Office Supplies,Binders,106.344,7,0.2,37.2204,,8.544,-22.428,,,,,,,,
17-09-2016,21-09-2016,Office Supplies,Binders,5.892,4,0.7,-4.1244,,8.552,-13.6832,,,,,,,,
07-03-2016,08-03-2016,Furniture,Chairs,48.712,1,0.2,5.4801,,8.56,8.988,,,,,,,,
09-12-2016,16-12-2016,Office Supplies,Paper,34.68,6,0,16.9932,,8.568,-14.5656,,,,,,,,
09-09-2016,15-09-2016,Office Supplies,Labels,103.6,7,0,51.8,,8.608,3.0128,,,,,,,,
07-03-2016,12-03-2016,Furniture,Chairs,436.704,6,0.2,21.8352,,8.624,-2.5872,,,,,,,,
07-03-2016,12-03-2016,Furniture,Chairs,481.568,2,0.2,54.1764,,8.64,7.4304,,,,,,,,
15-06-2016,21-06-2016,Office Supplies,Binders,8.568,3,0.8,-14.5656,,8.682,-14.7594,,,,,,,,
05-12-2016,12-12-2016,Office Supplies,Storage,24.56,2,0,6.8768,,8.69,-14.773,,,,,,,,
13-09-2016,16-09-2016,Office Supplies,Paper,15.552,3,0.2,5.4432,,8.704,3.1552,,,,,,,,
11-04-2016,13-04-2016,Technology,Accessories,335.944,7,0.2,41.993,,8.72,2.8776,,,,,,,,
22-09-2016,24-09-2016,Office Supplies,Labels,4.608,2,0.2,1.6704,,8.736,-4.8048,,,,,,,,
11-03-2016,16-03-2016,Furniture,Furnishings,8.32,5,0.2,2.288,,8.85,-13.7175,,,,,,,,
14-01-2016,15-01-2016,Furniture,Bookcases,61.96,4,0.5,-53.2856,,8.88,-13.32,,,,,,,,
15-01-2016,17-01-2016,Technology,Accessories,149.95,5,0,65.978,,8.92,3.9248,,,,,,,,
16-01-2016,18-01-2016,Furniture,Furnishings,127.104,6,0.2,28.5984,,8.94,0.6258,,,,,,,,
11-11-2016,14-11-2016,Office Supplies,Art,3.392,1,0.2,0.8056,,8.952,-14.7708,,,,,,,,
11-11-2016,14-11-2016,Technology,Phones,559.984,2,0.2,55.9984,,8.96,2.7776,,,,,,,,
14-03-2016,19-03-2016,Furniture,Chairs,1139.92,4,0,284.98,,9.006,-7.2048,,,,,,,,
21-05-2016,25-05-2016,Office Supplies,Binders,2715.93,7,0,1276.4871,,9.09,1.9089,,,,,,,,
21-05-2016,25-05-2016,Technology,Phones,617.97,3,0,173.0316,,9.184,1.148,,,,,,,,
15-03-2016,19-03-2016,Furniture,Furnishings,45.696,3,0.2,5.1408,,9.24,5.3592,,,,,,,,
04-07-2016,09-07-2016,Office Supplies,Paper,21.84,3,0,10.92,,9.264,-13.896,,,,,,,,
04-07-2016,09-07-2016,Office Supplies,Binders,15.6,5,0,7.644,,9.32,2.7028,,,,,,,,
17-03-2016,21-03-2016,Furniture,Tables,1579.746,7,0.4,-447.5947,,9.328,0.8162,,,,,,,,
17-03-2016,21-03-2016,Furniture,Tables,1071.576,4,0.4,-553.6476,,9.344,1.168,,,,,,,,
05-07-2016,08-07-2016,Office Supplies,Labels,14.62,2,0,6.8714,,9.345,-6.5415,,,,,,,,
27-05-2016,01-06-2016,Technology,Phones,1113.504,12,0.2,125.2692,,9.408,3.4104,,,,,,,,
11-04-2016,18-04-2016,Technology,Accessories,217.44,6,0,91.3248,,9.42,4.239,,,,,,,,
17-03-2016,21-03-2016,Furniture,Tables,613.908,3,0.4,-122.7816,,9.45,4.536,,,,,,,,
16-01-2016,18-01-2016,Technology,Phones,124.2,3,0.4,-31.05,,9.568,3.4684,,,,,,,,
16-01-2016,18-01-2016,Office Supplies,Binders,18.588,2,0.7,-13.6312,,9.584,3.3544,,,,,,,,
18-03-2016,23-03-2016,Furniture,Furnishings,30.768,2,0.2,8.0766,,9.588,-2.0774,,,,,,,,
16-01-2016,18-01-2016,Office Supplies,Labels,30.072,3,0.2,10.1493,,9.64,9.158,,,,,,,,
18-01-2016,21-01-2016,Office Supplies,Appliances,64.864,4,0.2,6.4864,,9.81,-6.867,,,,,,,,
18-03-2016,23-03-2016,Furniture,Furnishings,122.352,3,0.2,15.294,,9.82,3.2406,,,,,,,,
18-03-2016,21-03-2016,Furniture,Bookcases,1198.33,10,0.15,70.49,,9.84,5.7072,,,,,,,,
29-09-2016,03-10-2016,Office Supplies,Fasteners,8.72,4,0,2.8776,,9.912,6.5667,,,,,,,,
29-09-2016,03-10-2016,Office Supplies,Paper,6.48,1,0,3.1104,,9.936,2.7324,,,,,,,,
29-09-2016,03-10-2016,Technology,Machines,686.32,2,0.2,223.054,,9.94,3.0814,,,,,,,,
29-09-2016,03-10-2016,Office Supplies,Storage,62.18,1,0,16.7886,,9.96,7.3206,,,,,,,,
20-12-2016,21-12-2016,Office Supplies,Storage,122.48,2,0,0,,9.98,-16.467,,,,,,,,
18-03-2016,24-03-2016,Furniture,Furnishings,111,2,0,14.43,,9.99,4.5954,,,,,,,,
20-12-2016,21-12-2016,Office Supplies,Binders,62.31,3,0,29.2857,,10.048,6.28,,,,,,,,
19-03-2016,21-03-2016,Furniture,Furnishings,4.992,3,0.2,1.3728,,10.11,3.2352,,,,,,,,
01-09-2016,05-09-2016,Office Supplies,Art,53.94,3,0,15.6426,,10.16,4.7752,,,,,,,,
03-03-2016,08-03-2016,Technology,Phones,9.99,1,0,4.5954,,10.272,0.8988,,,,,,,,
