Order Date,Ship Date,Category,Sub-Category,Sales,Quantity,Discount,Profit,,Row Labels,Sum of Profit,,,,,,,
24-11-2017,30-11-2017,Furniture,Furnishings,79.76,4,0,22.3328,,2.502,-2.0016,,Kurtosis,2.184508668,,,,
30-04-2017,05-05-2017,Furniture,Chairs,213.115,5,0.3,-15.2225,,2.512,-4.396,,Skewness,1.341130357,,5134.883333,Average profit per month,
26-04-2017,02-05-2017,Furniture,Chairs,831.936,8,0.2,-114.3912,,2.544,-3.816,,Range,13,,168.8180822,Average profit per day,
26-04-2017,02-05-2017,Furniture,Furnishings,97.04,2,0.2,1.213,,2.556,-1.7892,,Minimum,1,,39211.04242,Average sales per month,
26-04-2017,02-05-2017,Office Supplies,Storage,72.784,1,0.2,-18.196,,2.61,2.4012,,Maximum,14,,1289.128767,Average sales per day,
03-09-2017,08-09-2017,Office Supplies,Envelopes,200.984,7,0.2,62.8075,,2.624,0.4264,,Sum,7979,,,,
31-01-2017,05-02-2017,Office Supplies,Paper,12.96,2,0,6.2208,,2.696,0.8088,,Count,2102,,,,
31-01-2017,05-02-2017,Furniture,Furnishings,53.34,3,0,16.5354,,2.724,-4.2222,,,,,,,
31-01-2017,05-02-2017,Office Supplies,Binders,32.96,2,0,16.1504,,2.724,-1.9068,,,,,,,
13-11-2017,17-11-2017,Technology,Accessories,238.896,6,0.2,-26.8758,,2.74,0.7398,,Sales,,,Profit,,
13-11-2017,17-11-2017,Furniture,Furnishings,102.36,3,0.2,-3.8385,,2.772,-4.851,,,,,,,
13-11-2017,17-11-2017,Office Supplies,Binders,36.882,3,0.7,-25.8174,,2.78,0.7228,,Mean,223.8499091,,Mean,29.31427388,
15-10-2017,20-10-2017,Technology,Accessories,339.96,5,0.2,67.992,,2.808,-4.4928,,Standard Error,10.19976526,,Standard Error,4.036242808,
02-03-2017,06-03-2017,Furniture,Tables,787.53,3,0,165.3813,,2.816,0.3168,,Median,59.904,,Median,9.3312,
05-04-2017,10-04-2017,Office Supplies,Binders,157.794,1,0.7,-115.7156,,2.88,-4.464,,Mode,12.96,,Mode,9.3312,
07-09-2017,12-09-2017,Office Supplies,Storage,671.93,7,0,20.1579,,2.892,-2.3136,,Standard Deviation,467.6344879,,Standard Deviation,185.051939,
31-05-2017,02-06-2017,Office Supplies,Paper,58.38,7,0,26.271,,2.934,-4.9878,,Sample Variance,218682.0143,,Sample Variance,34244.22011,
31-05-2017,02-06-2017,Office Supplies,Paper,105.52,4,0,48.5392,,2.946,-4.1244,,Kurtosis,39.94761567,,Kurtosis,102.2000528,
31-05-2017,02-06-2017,Office Supplies,Storage,80.88,6,0,21.0288,,2.96,0.777,,Skewness,5.266130613,,Skewness,2.902427033,
28-05-2017,03-06-2017,Office Supplies,Art,6.63,3,0,1.7901,,2.992,-4.488,,Range,6353.966,,Range,5817.4662,
28-12-2017,31-12-2017,Technology,Accessories,54.384,2,0.2,1.3596,,3.008,0.9024,,Minimum,0.984,,Minimum,-2639.9912,
21-11-2017,23-11-2017,Furniture,Chairs,396.802,7,0.3,-11.3372,,3.08,1.4784,,Maximum,6354.95,,Maximum,3177.475,
21-11-2017,23-11-2017,Office Supplies,Supplies,15.88,5,0.2,-3.7715,,3.15,1.512,,Sum,470532.509,,Sum,61618.6037,
15-12-2017,19-12-2017,Office Supplies,Art,3.28,1,0,1.4104,,3.168,0.2772,,Count,2102,,Count,2102,
12-10-2017,14-10-2017,Furniture,Bookcases,899.136,4,0.2,112.392,,3.204,-2.5632,,,,,,,
12-10-2017,14-10-2017,Technology,Phones,71.76,6,0,20.0928,,3.264,1.1016,,,,,,,
12-10-2017,14-10-2017,Office Supplies,Paper,51.84,8,0,24.8832,,3.264,-2.2848,,,,,,,
12-10-2017,14-10-2017,Furniture,Bookcases,626.352,3,0.2,46.9764,,3.28,2.3616,,,,,,,
12-10-2017,14-10-2017,Office Supplies,Art,19.9,5,0,6.567,,3.304,1.1151,,,,,,,
31-10-2017,06-11-2017,Office Supplies,Envelopes,14.28,7,0,6.7116,,3.328,1.2064,,,,,,,
09-02-2017,13-02-2017,Technology,Accessories,20.8,2,0.2,6.5,,3.366,-2.244,,,,,,,
02-01-2017,09-01-2017,Office Supplies,Labels,23.68,2,0.2,8.88,,3.408,0.8946,,,,,,,
02-01-2017,09-01-2017,Furniture,Bookcases,452.45,5,0.5,-244.323,,3.424,0.2996,,,,,,,
02-01-2017,09-01-2017,Technology,Phones,62.982,3,0.4,-14.6958,,3.44,0.559,,,,,,,
02-01-2017,09-01-2017,Technology,Machines,1188,9,0.7,-950.4,,3.444,-2.5256,,,,,,,
02-01-2017,09-01-2017,Technology,Accessories,89.584,2,0.2,4.4792,,3.488,-0.1308,,,,,,,
24-12-2017,27-12-2017,Office Supplies,Fasteners,5.584,2,0.2,1.8148,,3.552,0.888,,,,,,,
24-12-2017,27-12-2017,Office Supplies,Paper,22.704,6,0.2,8.2302,,3.564,-6.237,,,,,,,
24-12-2017,27-12-2017,Office Supplies,Binders,19.776,4,0.7,-13.8432,,3.576,-2.8608,,,,,,,
24-12-2017,27-12-2017,Furniture,Furnishings,72.704,4,0.2,19.0848,,3.592,-6.286,,,,,,,
24-12-2017,27-12-2017,Technology,Machines,479.988,4,0.7,-383.9904,,3.592,1.1225,,,,,,,
24-12-2017,27-12-2017,Office Supplies,Art,27.168,2,0.2,2.7168,,3.64,1.0192,,,,,,,
09-08-2017,16-08-2017,Office Supplies,Art,2.2,1,0,0.968,,3.656,-5.8496,,,,,,,
09-08-2017,16-08-2017,Furniture,Tables,622.45,5,0,136.939,,3.75,1.8,,,,,,,
09-08-2017,16-08-2017,Office Supplies,Storage,21.98,1,0,0.2198,,3.76,1.8048,,,,,,,
28-02-2017,04-03-2017,Furniture,Chairs,161.568,2,0.2,-28.2744,,3.762,-2.7588,,,,,,,
28-02-2017,04-03-2017,Furniture,Chairs,389.696,8,0.2,43.8408,,3.768,-3.14,,,,,,,
28-11-2017,04-12-2017,Furniture,Furnishings,12.132,9,0.6,-8.4924,,3.798,-6.0768,,,,,,,
28-11-2017,04-12-2017,Office Supplies,Storage,82.368,2,0.2,-19.5624,,3.882,-5.823,,,,,,,
28-11-2017,04-12-2017,Office Supplies,Storage,53.92,5,0.2,4.044,,3.9,1.521,,,,,,,
28-11-2017,04-12-2017,Technology,Phones,647.904,6,0.2,56.6916,,3.96,-6.93,,,,,,,
10-11-2017,15-11-2017,Technology,Accessories,79.9,2,0,35.156,,3.96,0,,,,,,,
30-07-2017,31-07-2017,Technology,Accessories,209.93,7,0,92.3692,,4.16,1.7472,,,,,,,
30-07-2017,31-07-2017,Furniture,Furnishings,5.28,3,0,2.3232,,4.224,0.4752,,,,,,,
30-07-2017,31-07-2017,Office Supplies,Binders,10.92,3,0.2,4.095,,4.28,1.926,,,,,,,
26-09-2017,28-09-2017,Office Supplies,Binders,2.08,5,0.8,-3.432,,4.304,1.5602,,,,,,,
26-09-2017,28-09-2017,Technology,Phones,1114.4,7,0.2,376.11,,4.312,-6.8992,,,,,,,
02-11-2017,06-11-2017,Furniture,Tables,1038.84,5,0.2,51.942,,4.36,2.0492,,,,,,,
26-09-2017,02-10-2017,Office Supplies,Paper,141.76,5,0.2,47.844,,4.401,-3.5208,,,,,,,
26-09-2017,02-10-2017,Technology,Accessories,239.8,5,0.2,47.96,,4.419,-3.3879,,,,,,,
26-09-2017,02-10-2017,Office Supplies,Paper,31.104,6,0.2,10.8864,,4.448,0.3336,,,,,,,
04-05-2017,09-05-2017,Furniture,Furnishings,26.8,2,0,12.864,,4.464,1.674,,,,,,,
01-09-2017,04-09-2017,Office Supplies,Binders,4.752,1,0.2,1.6038,,4.47,-7.8225,,,,,,,
01-09-2017,04-09-2017,Technology,Copiers,959.984,2,0.2,335.9944,,4.512,0.846,,,,,,,
01-09-2017,04-09-2017,Office Supplies,Binders,14.368,4,0.2,4.49,,4.536,-3.3264,,,,,,,
22-06-2017,26-06-2017,Office Supplies,Fasteners,4.96,4,0,2.3312,,4.608,5.0112,,,,,,,
20-12-2017,24-12-2017,Office Supplies,Storage,88.8,4,0.2,-2.22,,4.662,-3.7296,,,,,,,
28-04-2017,05-05-2017,Office Supplies,Appliances,8.652,3,0.8,-20.3322,,4.712,-0.4712,,,,,,,
28-04-2017,05-05-2017,Office Supplies,Storage,23.832,3,0.2,2.6811,,4.728,0.7092,,,,,,,
28-04-2017,05-05-2017,Office Supplies,Binders,12.176,4,0.8,-18.8728,,4.752,1.6038,,,,,,,
26-06-2017,29-06-2017,Technology,Accessories,41.9,2,0,8.799,,4.896,-6.8544,,,,,,,
27-11-2017,02-12-2017,Furniture,Tables,375.4575,3,0.45,-157.0095,,4.923,-3.9384,,,,,,,
27-11-2017,02-12-2017,Technology,Accessories,83.976,3,0.2,-1.0497,,4.928,-8.88178E-16,,,,,,,
03-12-2017,07-12-2017,Technology,Machines,482.34,4,0.7,-337.638,,4.95,1.3365,,,,,,,
03-12-2017,07-12-2017,Furniture,Furnishings,2.96,1,0.2,0.777,,4.96,2.3312,,,,,,,
31-10-2017,04-11-2017,Office Supplies,Supplies,70.12,4,0,21.036,,4.98,2.3406,,,,,,,
15-12-2017,22-12-2017,Office Supplies,Appliances,103.92,4,0,36.372,,5,2.4,,,,,,,
15-12-2017,22-12-2017,Technology,Accessories,899.91,9,0,377.9622,,5.04,6.8292,,,,,,,
15-12-2017,22-12-2017,Office Supplies,Binders,51.312,3,0.2,18.6006,,5.104,1.6588,,,,,,,
17-01-2017,24-01-2017,Furniture,Furnishings,254.744,7,0.6,-312.0614,,5.16,0.8385,,,,,,,
20-12-2017,24-12-2017,Office Supplies,Paper,55.48,1,0,26.6304,,5.176,-7.764,,,,,,,
27-12-2017,31-12-2017,Office Supplies,Envelopes,105.42,2,0,51.6558,,5.232,1.7004,,,,,,,
16-03-2017,22-03-2017,Office Supplies,Art,2.74,1,0,0.7398,,5.238,-4.0158,,,,,,,
16-03-2017,22-03-2017,Office Supplies,Art,8.34,3,0,2.1684,,5.248,0.5904,,,,,,,
16-03-2017,22-03-2017,Office Supplies,Storage,46.74,3,0,11.685,,5.28,3.8544,,,,,,,
16-03-2017,22-03-2017,Office Supplies,Binders,6354.95,5,0,3177.475,,5.344,2.6052,,,,,,,
22-03-2017,26-03-2017,Technology,Accessories,18.392,1,0.2,5.2877,,5.43,1.7919,,,,,,,
22-03-2017,26-03-2017,Office Supplies,Storage,129.568,2,0.2,-25.9136,,5.56,3.6696,,,,,,,
22-03-2017,26-03-2017,Office Supplies,Binders,14.112,9,0.8,-21.168,,5.584,1.8148,,,,,,,
26-12-2017,02-01-2018,Office Supplies,Fasteners,22.2,5,0,10.434,,5.64,2.7072,,,,,,,
03-09-2017,07-09-2017,Office Supplies,Storage,36.336,3,0.2,-7.2672,,5.68,1.7608,,,,,,,
03-09-2017,07-09-2017,Office Supplies,Supplies,666.248,1,0.2,-149.9058,,5.728,-9.1648,,,,,,,
03-09-2017,07-09-2017,Office Supplies,Envelopes,52.512,6,0.2,19.692,,5.76,8.8128,,,,,,,
07-11-2017,09-11-2017,Furniture,Chairs,190.72,1,0.2,11.92,,5.768,-13.5548,,,,,,,
03-12-2017,08-12-2017,Office Supplies,Binders,10.752,4,0.2,3.36,,5.792,-9.5568,,,,,,,
07-12-2017,11-12-2017,Office Supplies,Appliances,152.94,3,0,41.2938,,5.81,1.8011,,,,,,,
07-12-2017,11-12-2017,Furniture,Chairs,283.92,4,0,70.98,,5.84,3.358,,,,,,,
18-12-2017,23-12-2017,Office Supplies,Storage,646.776,9,0.2,-145.5246,,5.888,-1.3248,,,,,,,
15-11-2017,17-11-2017,Office Supplies,Storage,250.272,9,0.2,15.642,,5.904,5.9778,,,,,,,
15-11-2017,17-11-2017,Office Supplies,Binders,11.364,3,0.8,-17.046,,5.984,2.244,,,,,,,
15-11-2017,17-11-2017,Office Supplies,Supplies,8.72,5,0.2,-1.744,,6.048,-4.2336,,,,,,,
07-12-2017,09-12-2017,Office Supplies,Fasteners,3.96,2,0,0,,6.08,-10.336,,,,,,,
07-12-2017,09-12-2017,Office Supplies,Labels,2.61,1,0,1.2006,,6.08,2.0672,,,,,,,
18-09-2017,22-09-2017,Office Supplies,Paper,160.72,14,0,78.7528,,6.096,6.2484,,,,,,,
18-09-2017,22-09-2017,Office Supplies,Paper,19.92,4,0,9.7608,,6.129,-4.4946,,,,,,,
18-09-2017,22-09-2017,Office Supplies,Supplies,7.3,2,0,2.19,,6.16,10.8416,,,,,,,
10-09-2017,14-09-2017,Office Supplies,Supplies,51.52,4,0,1.5456,,6.208,2.1728,,,,,,,
03-07-2017,09-07-2017,Furniture,Chairs,70.98,1,0,4.9686,,6.23,-9.6565,,,,,,,
03-07-2017,09-07-2017,Office Supplies,Labels,294.93,3,0,144.5157,,6.24,3.0576,,,,,,,
29-11-2017,03-12-2017,Furniture,Chairs,301.96,2,0,87.5684,,6.264,2.0358,,,,,,,
29-11-2017,03-12-2017,Office Supplies,Appliances,555.21,5,0.1,178.901,,6.336,-4.6464,,,,,,,
29-11-2017,03-12-2017,Office Supplies,Storage,523.48,4,0,130.87,,6.36,0.0636,,,,,,,
29-11-2017,03-12-2017,Office Supplies,Art,161.82,9,0,46.9278,,6.368,4.2984,,,,,,,
04-10-2017,09-10-2017,Furniture,Chairs,392.94,3,0,43.2234,,6.408,-3.471,,,,,,,
24-08-2017,28-08-2017,Office Supplies,Storage,999.432,7,0.2,124.929,,6.48,18.6624,,,,,,,
24-08-2017,28-08-2017,Office Supplies,Storage,724.08,14,0.2,-135.765,,6.48,-4.752,,,,,,,
24-08-2017,28-08-2017,Furniture,Tables,918.785,5,0.3,-118.1295,,6.58,3.0268,,,,,,,
24-08-2017,28-08-2017,Office Supplies,Binders,2.724,3,0.8,-4.2222,,6.588,-10.2114,,,,,,,
28-03-2017,02-04-2017,Technology,Accessories,166.24,1,0,24.936,,6.608,4.3778,,,,,,,
28-03-2017,02-04-2017,Office Supplies,Paper,33.4,5,0,16.032,,6.63,1.7901,,,,,,,
14-05-2017,17-05-2017,Office Supplies,Art,198.272,8,0.2,17.3488,,6.68,2.004,,,,,,,
14-05-2017,17-05-2017,Office Supplies,Labels,47.36,4,0.2,17.76,,6.688,-1.672,,,,,,,
14-05-2017,17-05-2017,Office Supplies,Envelopes,200.984,7,0.2,62.8075,,6.7,2.211,,,,,,,
14-05-2017,17-05-2017,Office Supplies,Labels,97.696,4,0.2,31.7512,,6.72,3.36,,,,,,,
14-05-2017,17-05-2017,Office Supplies,Art,2.696,1,0.2,0.8088,,6.72,2.436,,,,,,,
14-05-2017,17-05-2017,Office Supplies,Binders,18.588,2,0.7,-13.6312,,6.732,-4.488,,,,,,,
14-05-2017,17-05-2017,Office Supplies,Binders,4.896,3,0.7,-3.4272,,6.848,1.1984,,,,,,,
09-04-2017,14-04-2017,Furniture,Tables,369.912,3,0.2,-13.8717,,6.858,-5.715,,,,,,,
07-12-2017,12-12-2017,Furniture,Furnishings,79.92,4,0,28.7712,,6.9,-12.075,,,,,,,
31-08-2017,05-09-2017,Office Supplies,Paper,58.32,9,0,27.9936,,6.912,5.7024,,,,,,,
08-02-2017,13-02-2017,Technology,Phones,107.982,3,0.4,-26.9955,,6.992,0.5244,,,,,,,
21-08-2017,23-08-2017,Furniture,Chairs,544.008,3,0.2,40.8006,,7.04,3.3088,,,,,,,
21-08-2017,23-08-2017,Office Supplies,Paper,59.94,3,0,28.1718,,7.056,0.7938,,,,,,,
21-08-2017,23-08-2017,Office Supplies,Paper,23.92,4,0,11.7208,,7.08,2.478,,,,,,,
21-08-2017,23-08-2017,Office Supplies,Paper,4.28,1,0,1.926,,7.104,2.4864,,,,,,,
03-10-2017,06-10-2017,Office Supplies,Binders,32.07,5,0.7,-22.449,,7.152,0.7152,,,,,,,
03-10-2017,06-10-2017,Technology,Accessories,24,2,0.2,-2.7,,7.218,-5.5338,,,,,,,
03-10-2017,06-10-2017,Furniture,Bookcases,35.49,1,0.5,-15.6156,,7.23,-11.568,,,,,,,
03-10-2017,06-10-2017,Technology,Accessories,47.984,2,0.2,0.5998,,7.24,2.3892,,,,,,,
23-05-2017,28-05-2017,Office Supplies,Envelopes,186.69,3,0,87.7443,,7.24,1.1765,,,,,,,
12-12-2017,16-12-2017,Furniture,Chairs,348.928,2,0.2,34.8928,,7.28,2.73,,,,,,,
26-06-2017,30-06-2017,Office Supplies,Binders,143.96,4,0,69.1008,,7.3,5.621,,,,,,,
26-06-2017,30-06-2017,Office Supplies,Storage,15.42,1,0,4.1634,,7.31,3.4357,,,,,,,
26-06-2017,30-06-2017,Office Supplies,Binders,43.04,8,0,21.0896,,7.38,12.6198,,,,,,,
26-06-2017,30-06-2017,Furniture,Chairs,332.94,3,0,79.9056,,7.38,-5.412,,,,,,,
24-12-2017,26-12-2017,Office Supplies,Paper,132.79,7,0,63.7392,,7.5,3.6,,,,,,,
24-12-2017,26-12-2017,Office Supplies,Paper,12.96,2,0,6.2208,,7.52,2.632,,,,,,,
24-12-2017,26-12-2017,Office Supplies,Labels,21.56,7,0,10.3488,,7.56,0.3024,,,,,,,
27-11-2017,03-12-2017,Furniture,Chairs,283.92,5,0.2,17.745,,7.584,2.37,,,,,,,
03-02-2017,05-02-2017,Furniture,Furnishings,28.4,2,0,11.076,,7.656,-13.0152,,,,,,,
03-02-2017,05-02-2017,Technology,Accessories,149.97,3,0,50.9898,,7.656,-6.1248,,,,,,,
20-03-2017,23-03-2017,Office Supplies,Paper,51.84,8,0,24.8832,,7.712,1.7352,,,,,,,
20-11-2017,25-11-2017,Office Supplies,Art,60.45,3,0,16.3215,,7.76,-2.134,,,,,,,
20-11-2017,25-11-2017,Office Supplies,Art,11.52,4,0,3.3408,,7.78,2.0228,,,,,,,
20-11-2017,25-11-2017,Furniture,Bookcases,186.048,4,0.2,9.3024,,7.824,2.934,,,,,,,
13-10-2017,17-10-2017,Technology,Phones,83.72,7,0,23.4416,,7.86,3.6156,,,,,,,
13-10-2017,17-10-2017,Furniture,Chairs,287.94,3,0,77.7438,,7.872,2.1648,,,,,,,
19-10-2017,20-10-2017,Office Supplies,Paper,34.44,3,0,17.22,,7.88,1.773,,,,,,,
09-10-2017,13-10-2017,Office Supplies,Storage,30.84,2,0,8.3268,,7.88,-3.94,,,,,,,
25-04-2017,28-04-2017,Office Supplies,Binders,13.944,3,0.2,4.5318,,7.9,2.528,,,,,,,
31-05-2017,07-06-2017,Furniture,Furnishings,22.2,6,0,9.102,,7.92,3.4848,,,,,,,
11-04-2017,15-04-2017,Technology,Accessories,85.14,3,0,34.9074,,7.92,2.772,,,,,,,
11-04-2017,15-04-2017,Technology,Phones,21.99,1,0,10.5552,,7.968,8.6652,,,,,,,
11-04-2017,15-04-2017,Office Supplies,Appliances,406.6,5,0,113.848,,7.98,-13.167,,,,,,,
05-10-2017,09-10-2017,Office Supplies,Art,46.2,4,0,12.936,,8.016,2.004,,,,,,,
05-10-2017,09-10-2017,Office Supplies,Appliances,28.84,2,0,9.5172,,8.04,2.9145,,,,,,,
13-12-2017,17-12-2017,Office Supplies,Paper,12.96,2,0,6.2208,,8.096,2.7324,,,,,,,
13-12-2017,17-12-2017,Office Supplies,Appliances,134.48,4,0,34.9648,,8.22,2.2194,,,,,,,
29-05-2017,03-06-2017,Office Supplies,Paper,32.4,5,0,15.552,,8.226,-6.0324,,,,,,,
29-05-2017,03-06-2017,Office Supplies,Storage,540.57,3,0,140.5482,,8.26,7.6818,,,,,,,
29-05-2017,03-06-2017,Office Supplies,Binders,167.76,5,0.2,62.91,,8.28,6.4584,,,,,,,
26-07-2017,28-07-2017,Furniture,Tables,393.165,3,0.5,-204.4458,,8.34,2.1684,,,,,,,
22-09-2017,22-09-2017,Furniture,Furnishings,204.6,2,0,53.196,,8.352,1.2528,,,,,,,
27-11-2017,01-12-2017,Office Supplies,Binders,6.24,2,0,3.0576,,8.39,2.0975,,,,,,,
09-12-2017,12-12-2017,Office Supplies,Paper,34.02,3,0,16.6698,,8.4,6.3,,,,,,,
10-03-2017,10-03-2017,Office Supplies,Binders,1.112,2,0.8,-1.8904,,8.568,-14.5656,,,,,,,
29-03-2017,31-03-2017,Furniture,Chairs,1166.92,5,0.2,131.2785,,8.64,8.4672,,,,,,,
28-10-2017,03-11-2017,Office Supplies,Envelopes,10.67,1,0,4.9082,,8.652,-20.3322,,,,,,,
28-10-2017,03-11-2017,Office Supplies,Storage,36.63,3,0,9.8901,,8.688,2.9322,,,,,,,
28-10-2017,03-11-2017,Furniture,Furnishings,24.1,5,0,9.158,,8.72,0.545,,,,,,,
28-10-2017,03-11-2017,Furniture,Furnishings,33.11,7,0,12.9129,,8.784,-13.6152,,,,,,,
31-07-2017,31-07-2017,Technology,Accessories,2309.65,7,0,762.1845,,8.82,2.5578,,,,,,,
31-07-2017,31-07-2017,Furniture,Tables,1090.782,7,0.4,-290.8752,,8.856,2.9889,,,,,,,
31-07-2017,31-07-2017,Office Supplies,Paper,19.44,3,0,9.3312,,8.92,3.9248,,,,,,,
27-08-2017,31-08-2017,Office Supplies,Storage,484.65,3,0,92.0835,,8.96,4.3904,,,,,,,
13-11-2017,17-11-2017,Office Supplies,Paper,115.296,3,0.2,40.3536,,9,3.15,,,,,,,
06-11-2017,09-11-2017,Office Supplies,Envelopes,7.08,3,0.2,2.478,,9.088,3.2944,,,,,,,
06-11-2017,09-11-2017,Office Supplies,Binders,4.401,3,0.7,-3.5208,,9.14,4.57,,,,,,,
21-12-2017,24-12-2017,Furniture,Tables,1618.37,13,0,356.0414,,9.144,3.0861,,,,,,,
21-12-2017,24-12-2017,Technology,Accessories,99.6,1,0,36.852,,9.156,-13.734,,,,,,,
17-09-2017,19-09-2017,Office Supplies,Paper,32.4,5,0,15.552,,9.156,-6.104,,,,,,,
06-07-2017,10-07-2017,Furniture,Furnishings,13.96,2,0,6.7008,,9.216,3.3408,,,,,,,
06-07-2017,10-07-2017,Furniture,Furnishings,155.82,3,0,63.8862,,9.24,4.4352,,,,,,,
06-07-2017,10-07-2017,Technology,Phones,124.95,5,0,2.499,,9.26,6.1116,,,,,,,
06-07-2017,10-07-2017,Office Supplies,Storage,601.65,5,0,156.429,,9.344,1.168,,,,,,,
27-04-2017,03-05-2017,Office Supplies,Art,22.74,3,0,8.8686,,9.392,3.2872,,,,,,,
27-04-2017,03-05-2017,Furniture,Chairs,1267.53,3,0,316.8825,,9.42,0.471,,,,,,,
27-04-2017,03-05-2017,Technology,Machines,1379.92,8,0,648.5624,,9.48,3.792,,,,,,,
16-06-2017,20-06-2017,Office Supplies,Envelopes,6.208,2,0.2,2.1728,,9.522,-6.9828,,,,,,,
13-06-2017,14-06-2017,Office Supplies,Binders,36.624,3,0.2,13.734,,9.54,4.293,,,,,,,
03-07-2017,05-07-2017,Furniture,Furnishings,168.464,2,0.2,-29.4812,,9.568,2.99,,,,,,,
03-07-2017,05-07-2017,Office Supplies,Paper,6.72,2,0.2,2.436,,9.612,-7.3692,,,,,,,
03-07-2017,05-07-2017,Furniture,Furnishings,282.888,9,0.2,56.5776,,9.618,-7.0532,,,,,,,
04-04-2017,08-04-2017,Office Supplies,Art,11.16,2,0,4.3524,,9.648,-16.884,,,,,,,
04-04-2017,08-04-2017,Furniture,Furnishings,108.4,2,0,22.764,,9.68,3.7752,,,,,,,
04-04-2017,08-04-2017,Office Supplies,Binders,82.344,3,0.2,27.7911,,9.728,3.2832,,,,,,,
04-04-2017,08-04-2017,Office Supplies,Binders,9.088,4,0.2,3.2944,,9.762,-6.8334,,,,,,,
23-03-2017,29-03-2017,Furniture,Chairs,107.772,2,0.3,-29.2524,,9.82,4.8118,,,,,,,
16-04-2017,21-04-2017,Office Supplies,Appliances,45.216,3,0.2,4.5216,,9.84,2.6568,,,,,,,
16-04-2017,21-04-2017,Office Supplies,Fasteners,10.416,7,0.2,-2.2134,,9.87,4.5402,,,,,,,
16-04-2017,21-04-2017,Office Supplies,Art,7.872,3,0.2,1.2792,,9.872,3.4552,,,,,,,
16-04-2017,21-04-2017,Technology,Phones,118.782,3,0.4,-27.7158,,9.952,0.9952,,,,,,,
16-04-2017,21-04-2017,Office Supplies,Fasteners,1.448,1,0.2,0.2353,,9.96,14.1432,,,,,,,
16-04-2017,21-04-2017,Office Supplies,Binders,55.47,5,0.7,-46.225,,10.02,4.4088,,,,,,,
25-07-2017,29-07-2017,Office Supplies,Binders,25.176,4,0.7,-18.4624,,10.11,3.2352,,,,,,,
20-11-2017,26-11-2017,Office Supplies,Art,19.46,7,0,5.0596,,10.16,2.6416,,,,,,,
29-11-2017,04-12-2017,Office Supplies,Paper,19.92,4,0,9.3624,,10.272,5.5212,,,,,,,
29-11-2017,04-12-2017,Furniture,Chairs,1106.91,9,0,121.7601,,10.312,-1.289,,,,,,,
06-12-2017,13-12-2017,Office Supplies,Art,120.15,9,0,33.642,,10.332,-7.5768,,,,,,,
