Sales 2016,Bin,Bin,Frequency,Sales 2017,Bin,Bin,Frequency,Sales 2018,Bin,Bin,Frequency,Sales 2019,Bin,Bin,Frequency
12.78,300,300,7,12.96,300,300,12,20.1,300,300,10,274.491,300,300,15
32.064,310,310,12,53.34,310,310,14,73.584,310,310,15,40.08,310,310,22
177.98,320,320,11,32.96,320,320,8,6.48,320,320,18,37.68,320,320,18
143.976,330,330,8,238.896,330,330,10,77.88,330,330,9,9.78,330,330,14
26.7,340,340,16,102.36,340,340,8,64.624,340,340,13,760.98,340,340,8
838.38,350,350,10,36.882,350,350,6,95.976,350,350,14,32.4,350,350,12
609.98,360,360,11,339.96,360,360,10,1.788,360,360,9,209.94,360,360,14
52.448,370,370,5,787.53,370,370,15,23.92,370,370,14,4164.05,370,370,11
20.16,380,380,3,157.794,380,380,7,75.96,380,380,13,212.94,380,380,8
24.816,390,390,6,671.93,390,390,11,27.24,390,390,16,21.744,390,390,15
5.48,400,400,8,58.38,400,400,7,47.04,400,400,8,7.92,400,400,12
503.96,410,410,6,105.52,410,410,4,30.84,410,410,10,169.064,410,410,7
149.95,420,420,3,80.88,420,420,4,226.56,420,420,6,168.624,420,420,12
391.98,430,430,5,6.63,430,430,4,115.02,430,430,5,18.336,430,430,4
755.96,440,440,6,54.384,440,440,8,68.04,440,440,12,36.288,440,440,11
7.408,450,450,9,396.802,450,450,7,81.424,450,450,12,111.984,450,450,9
6.048,460,460,2,15.88,460,460,5,238.56,460,460,11,5.97,460,460,9
31.12,470,470,3,3.28,470,470,8,20.04,470,470,5,2.508,470,470,5
2.6,480,480,11,899.136,480,480,7,35.44,480,480,11,154.9,480,480,23
18.648,490,490,7,71.76,490,490,6,11.52,490,490,7,67.4,490,490,7
6.54,500,500,4,51.84,500,500,5,4.02,500,500,7,2.52,500,500,6
166.72,510,510,8,626.352,510,510,3,76.176,510,510,1,67.8,510,510,8
47.88,520,520,2,19.9,520,520,6,65.88,520,520,5,18.76,520,520,8
1503.25,530,530,2,14.28,530,530,4,43.12,530,530,4,12.12,530,530,12
25.92,540,540,6,20.8,540,540,4,82.8,540,540,5,11.34,540,540,6
3059.982,550,550,3,23.68,550,550,12,384.45,550,550,3,159.8,550,550,13
2519.958,560,560,4,452.45,560,560,4,149.97,560,560,8,18.96,560,560,3
76.728,570,570,3,62.982,570,570,5,1951.84,570,570,10,34.384,570,570,5
10.43,580,580,10,1188,580,580,4,171.55,580,580,5,1924.16,580,580,4
31.2,590,590,5,89.584,590,590,5,157.92,590,590,3,12.7,590,590,3
78.6,600,600,1,5.584,600,600,7,203.184,600,600,6,21.4,600,600,8
27.552,610,610,13,22.704,610,610,5,14.62,610,610,1,32.784,610,610,5
9.84,620,620,6,19.776,620,620,5,944.93,620,620,0,47.984,620,620,3
45.48,630,630,6,72.704,630,630,7,5.98,630,630,5,62.592,630,630,8
289.2,640,640,4,479.988,640,640,4,28.4,640,640,6,4.276,640,640,4
9.344,650,650,3,27.168,650,650,4,27.68,650,650,1,27.92,650,650,3
39.96,660,660,5,2.2,660,660,3,7.16,660,660,5,399.672,660,660,7
102.3,670,670,4,622.45,670,670,4,37.224,670,670,4,5443.96,670,670,4
99.136,680,680,4,21.98,680,680,4,20.016,680,680,5,302.67,680,680,6
51.94,690,690,3,161.568,690,690,3,93.06,690,690,2,56.07,690,690,4
3991.98,700,700,2,389.696,700,700,3,302.376,700,700,5,6,700,700,5
275.94,710,710,3,12.132,710,710,2,25.92,710,710,6,429.6,710,710,5
468.9,720,720,3,82.368,720,720,8,419.68,720,720,3,31.968,720,720,2
43.57,730,730,1,53.92,730,730,4,11.688,730,730,5,887.271,730,730,7
7.16,740,740,2,647.904,740,740,0,31.984,740,740,2,21.696,740,740,2
19.92,750,750,2,79.9,750,750,1,177.225,750,750,2,79.92,750,750,0
2.89,760,760,3,209.93,760,760,0,4.044,760,760,4,12.28,760,760,2
17.856,770,770,4,5.28,770,770,1,7.408,770,770,1,542.94,770,770,6
509.97,780,780,2,10.92,780,780,4,321.568,780,780,3,2.04,780,780,2
30.992,790,790,2,2.08,790,790,2,7.61,790,790,3,207.846,790,790,2
71.928,800,800,4,1114.4,800,800,4,3347.37,800,800,1,160.776,800,800,3
211.96,810,810,4,1038.84,810,810,2,80.58,810,810,2,24.2,810,810,1
575.92,820,820,1,141.76,820,820,0,361.92,820,820,2,359.976,820,820,1
115.36,830,830,4,239.8,830,830,3,328.224,830,830,1,3.52,830,830,6
5.184,840,840,3,31.104,840,840,2,7.56,840,840,5,11.52,840,840,1
234.45,850,850,0,26.8,850,850,4,254.058,850,850,5,242.94,850,850,5
2.624,860,860,3,4.752,860,860,1,194.528,860,860,3,179.97,860,860,4
246.384,870,870,0,959.984,870,870,2,961.48,870,870,8,99.696,870,870,2
1799.97,880,880,1,14.368,880,880,1,19.096,880,880,3,27.936,880,880,4
12.462,890,890,3,4.96,890,890,3,18.496,890,890,3,84.98,890,890,2
9.568,900,900,3,88.8,900,900,7,255.984,900,900,1,18.72,900,900,13
39.072,910,910,2,8.652,910,910,0,86.97,910,910,6,348.208,910,910,4
239.97,920,920,2,23.832,920,920,4,32.4,920,920,1,35.784,920,920,3
69.99,930,930,0,12.176,930,930,0,1082.48,930,930,0,14.4,930,930,0
4.812,940,940,0,41.9,940,940,0,56.91,940,940,1,619.95,940,940,5
62.31,950,950,2,375.4575,950,950,3,77.6,950,950,1,89.52,950,950,1
9.94,960,960,0,83.976,960,960,2,14.28,960,960,3,350.973,960,960,2
340.92,970,970,1,482.34,970,970,1,15.136,970,970,3,164.99,970,970,1
545.94,980,980,2,2.96,980,980,2,466.768,980,980,2,268.576,980,980,5
703.968,990,990,1,70.12,990,990,1,15.232,990,990,0,2999.95,990,990,0
92.52,1000,1000,3,103.92,1000,1000,4,6.264,1000,1000,1,51.45,1000,1000,0
62.65,1010,1010,1,899.91,1010,1010,1,251.52,1010,1010,3,11.96,1010,1010,6
94.85,1020,1020,1,51.312,1020,1020,1,99.99,1020,1020,3,1126.02,1020,1020,0
151.2,1030,1030,2,254.744,1030,1030,2,290.898,1030,1030,2,15.12,1030,1030,1
73.98,1040,1040,0,55.48,1040,1040,3,54.224,1040,1040,2,7.872,1040,1040,1
479.97,1050,1050,2,105.42,1050,1050,1,786.744,1050,1050,3,210.98,1050,1050,4
2735.952,1060,1060,0,2.74,1060,1060,2,100.24,1060,1060,2,19.68,1060,1060,0
7.992,1070,1070,1,8.34,1070,1070,0,37.764,1070,1070,0,25.92,1070,1070,0
32.96,1080,1080,3,46.74,1080,1080,0,82.8,1080,1080,0,6.48,1080,1080,3
70.368,1090,1090,2,6354.95,1090,1090,3,20.724,1090,1090,3,86.352,1090,1090,2
449.15,1100,1100,1,18.392,1100,1100,3,4.896,1100,1100,3,95.984,1100,1100,1
11.07,1110,1110,1,129.568,1110,1110,1,6.79,1110,1110,1,4.938,1110,1110,0
82.8,1120,1120,3,14.112,1120,1120,3,24.56,1120,1120,5,5.67,1120,1120,2
170.24,1130,1130,1,22.2,1130,1130,1,3.048,1130,1130,4,25.86,1130,1130,2
100.792,1140,1140,2,36.336,1140,1140,0,49.12,1140,1140,0,276.784,1140,1140,1
333.999,1150,1150,0,666.248,1150,1150,0,4355.168,1150,1150,1,110.352,1150,1150,2
19.456,1160,1160,0,52.512,1160,1160,1,388.704,1160,1160,0,15.47,1160,1160,2
13,1170,1170,0,190.72,1170,1170,1,8.26,1170,1170,0,7.16,1170,1170,1
14.56,1180,1180,0,10.752,1180,1180,0,17.04,1180,1180,0,18.16,1180,1180,0
646.74,1190,1190,1,152.94,1190,1190,1,34.4,1190,1190,0,11.84,1190,1190,0
45.48,1200,1200,2,283.92,1200,1200,2,36.24,1200,1200,2,62.72,1200,1200,4
21.36,1210,1210,1,646.776,1210,1210,0,23.2,1210,1210,0,2939.93,1210,1210,1
93.024,1220,1220,4,250.272,1220,1220,3,7.36,1220,1220,1,14.016,1220,1220,1
218.75,1230,1230,1,11.364,1230,1230,1,104.79,1230,1230,0,71.976,1230,1230,0
1256.22,1240,1240,0,8.72,1240,1240,0,1043.92,1240,1240,0,107.982,1240,1240,0
142.776,1250,1250,0,3.96,1250,1250,1,99.136,1250,1250,0,137.94,1250,1250,3
60.89,1260,1260,1,2.61,1260,1260,2,50.96,1260,1260,0,239.97,1260,1260,1
7.218,1270,1270,1,160.72,1270,1270,3,49.536,1270,1270,3,37.74,1270,1270,0
43.188,1280,1280,1,19.92,1280,1280,0,35.952,1280,1280,3,279.9,1280,1280,0
131.904,1290,1290,0,7.3,1290,1290,0,2396.2656,1290,1290,1,449.91,1290,1290,3
3.282,1300,1300,2,51.52,1300,1300,1,131.136,1300,1300,3,12.128,1300,1300,3
21.168,1310,1310,0,70.98,1310,1310,0,57.584,1310,1310,0,8.34,1310,1310,0
55.188,1320,1320,0,294.93,1320,1320,0,383.8,1320,1320,2,8.57,1320,1320,1
8.69,1330,1330,4,301.96,1330,1330,2,189.588,1330,1330,1,119.616,1330,1330,1
332.94,1340,1340,0,555.21,1340,1340,0,408.744,1340,1340,2,5.22,1340,1340,2
66.3,1350,1350,1,523.48,1350,1350,2,291.96,1350,1350,1,4.768,1350,1350,1
5.58,1360,1360,0,161.82,1360,1360,1,4.768,1360,1360,2,12.96,1360,1360,1
177.536,1370,1370,1,392.94,1370,1370,1,714.3,1370,1370,4,94.85,1370,1370,0
129.568,1380,1380,0,999.432,1380,1380,1,1007.979,1380,1380,0,13.48,1380,1380,0
284.82,1390,1390,0,724.08,1390,1390,0,313.488,1390,1390,0,14.91,1390,1390,0
36.84,1400,1400,2,918.785,1400,1400,1,12.22,1400,1400,1,18.28,1400,1400,2
10.368,1410,1410,1,2.724,1410,1410,2,194.94,1410,1410,1,207,1410,1410,0
166.84,1420,1420,0,166.24,1420,1420,0,70.95,1420,1420,0,32.35,1420,1420,1
79.984,1430,1430,1,33.4,1430,1430,0,91.36,1430,1430,2,7.71,1430,1430,0
62.31,1440,1440,1,198.272,1440,1440,1,242.94,1440,1440,2,40.3,1440,1440,2
25.16,1450,1450,1,47.36,1450,1450,2,22.05,1450,1450,0,34.58,1450,1450,1
46.72,1460,1460,0,200.984,1460,1460,0,59.52,1460,1460,1,129.3,1460,1460,2
55.48,1470,1470,0,97.696,1470,1470,0,161.94,1470,1470,0,12.74,1470,1470,0
32.432,1480,1480,0,2.696,1480,1480,0,263.88,1480,1480,1,8.82,1480,1480,3
20.32,1490,1490,2,18.588,1490,1490,1,30.48,1490,1490,0,120.784,1490,1490,1
59.808,1500,1500,0,4.896,1500,1500,0,9.84,1500,1500,2,419.136,1500,1500,2
457.568,,More,49,369.912,,More,47,35.12,,More,59,69.375,,More,83
634.116,,,,79.92,,,,63.88,,,,31.68,,,
159.98,,,,58.32,,,,747.558,,,,2003.168,,,
11.36,,,,107.982,,,,8.928,,,,9.344,,,
50.94,,,,544.008,,,,23.56,,,,604.768,,,
5.64,,,,59.94,,,,1272.63,,,,59.97,,,
362.25,,,,23.92,,,,28.485,,,,78.304,,,
359.32,,,,4.28,,,,185.376,,,,21.456,,,
24.56,,,,32.07,,,,78.272,,,,86.26,,,
99.98,,,,24,,,,4.788,,,,139.04,,,
572.58,,,,35.49,,,,95.76,,,,46.8,,,
1325.85,,,,47.984,,,,40.2,,,,210.58,,,
116.784,,,,186.69,,,,14.7,,,,30.96,,,
19.9,,,,348.928,,,,704.25,,,,239.984,,,
37.408,,,,143.96,,,,93.98,,,,5.229,,,
63.552,,,,15.42,,,,189.882,,,,285.552,,,
32.76,,,,43.04,,,,119.616,,,,3.882,,,
9.96,,,,332.94,,,,255.76,,,,115.296,,,
21.72,,,,132.79,,,,241.568,,,,5.184,,,
43.176,,,,12.96,,,,69.3,,,,65.584,,,
1983.968,,,,21.56,,,,22.62,,,,22.2,,,
11.52,,,,283.92,,,,14.952,,,,419.4,,,
376.509,,,,28.4,,,,801.568,,,,32.67,,,
213.92,,,,149.97,,,,2.376,,,,243.992,,,
33.9,,,,51.84,,,,32.792,,,,7.12,,,
41.472,,,,60.45,,,,7.152,,,,1640.7,,,
3.168,,,,11.52,,,,55.176,,,,371.2,,,
302.45,,,,186.048,,,,66.26,,,,359.97,,,
31.086,,,,83.72,,,,979.95,,,,240.784,,,
335.52,,,,287.94,,,,22.75,,,,227.46,,,
299.97,,,,34.44,,,,16.768,,,,46.24,,,
399.96,,,,30.84,,,,380.864,,,,29.9,,,
51.184,,,,13.944,,,,1121.568,,,,252.784,,,
383.976,,,,22.2,,,,20.7,,,,127.984,,,
1089.75,,,,85.14,,,,1335.68,,,,3.984,,,
447.84,,,,21.99,,,,32.4,,,,12.992,,,
16.4,,,,406.6,,,,8.82,,,,21.12,,,
7.36,,,,46.2,,,,84.784,,,,354.9,,,
23.1,,,,28.84,,,,20.736,,,,203.983,,,
3.438,,,,12.96,,,,16.821,,,,23.12,,,
626.352,,,,134.48,,,,10.368,,,,21.336,,,
44.91,,,,32.4,,,,11.632,,,,963.136,,,
11.36,,,,540.57,,,,143.982,,,,88.776,,,
106.344,,,,167.76,,,,494.376,,,,20.7,,,
5.892,,,,393.165,,,,5.84,,,,147.568,,,
48.712,,,,204.6,,,,369.576,,,,6.63,,,
34.68,,,,6.24,,,,15.712,,,,799.96,,,
103.6,,,,34.02,,,,8.448,,,,107.53,,,
436.704,,,,1.112,,,,728.946,,,,25.02,,,
481.568,,,,1166.92,,,,243.384,,,,10.71,,,
8.568,,,,10.67,,,,119.8,,,,17.94,,,
24.56,,,,36.63,,,,300.768,,,,90.64,,,
15.552,,,,24.1,,,,18.882,,,,37.94,,,
335.944,,,,33.11,,,,122.328,,,,579.51,,,
4.608,,,,2309.65,,,,1049.2,,,,14.99,,,
8.32,,,,1090.782,,,,15.424,,,,18.368,,,
61.96,,,,19.44,,,,18.84,,,,600.558,,,
149.95,,,,484.65,,,,31.56,,,,50.352,,,
127.104,,,,115.296,,,,30.144,,,,28.032,,,
3.392,,,,7.08,,,,14.8,,,,7.692,,,
559.984,,,,4.401,,,,302.376,,,,480.96,,,
1139.92,,,,1618.37,,,,316,,,,124.792,,,
2715.93,,,,99.6,,,,379.4,,,,29.16,,,
617.97,,,,32.4,,,,113.552,,,,11.76,,,
45.696,,,,13.96,,,,3.318,,,,166.45,,,
21.84,,,,155.82,,,,134.288,,,,89.0664,,,
15.6,,,,124.95,,,,701.372,,,,175.44,,,
1579.746,,,,601.65,,,,2.308,,,,438.336,,,
1071.576,,,,22.74,,,,459.95,,,,455.97,,,
14.62,,,,1267.53,,,,10.74,,,,5.715,,,
1113.504,,,,1379.92,,,,14.352,,,,57.594,,,
217.44,,,,6.208,,,,64.96,,,,30.144,,,
613.908,,,,36.624,,,,68.6,,,,899.43,,,
124.2,,,,168.464,,,,209.88,,,,167.976,,,
18.588,,,,6.72,,,,146.82,,,,109.53,,,
30.768,,,,282.888,,,,1652.94,,,,9.82,,,
30.072,,,,11.16,,,,296.37,,,,1245.86,,,
64.864,,,,108.4,,,,45.584,,,,11.22,,,
122.352,,,,82.344,,,,182.72,,,,12.84,,,
1198.33,,,,9.088,,,,400.032,,,,44.67,,,
8.72,,,,107.772,,,,33.63,,,,22.23,,,
6.48,,,,45.216,,,,542.646,,,,215.968,,,
686.32,,,,10.416,,,,6.3,,,,6.56,,,
62.18,,,,7.872,,,,51.52,,,,13.11,,,
122.48,,,,118.782,,,,3.528,,,,9.432,,,
111,,,,1.448,,,,4.624,,,,333.576,,,
62.31,,,,55.47,,,,55.168,,,,31.992,,,
4.992,,,,25.176,,,,11.992,,,,51.168,,,
53.94,,,,19.46,,,,1199.976,,,,10.64,,,
9.99,,,,19.92,,,,383.438,,,,68.704,,,
125.76,,,,1106.91,,,,641.96,,,,386.91,,,
25.32,,,,120.15,,,,1363.96,,,,47.904,,,
46.8,,,,219.184,,,,355.32,,,,37.44,,,
22.38,,,,28.9,,,,12.96,,,,8.4,,,
16.52,,,,355.96,,,,5.344,,,,71.96,,,
11.56,,,,279.9,,,,35.216,,,,4.956,,,
1322.93,,,,619.95,,,,23.696,,,,123.92,,,
3.76,,,,4.36,,,,265.475,,,,1319.8,,,
12.096,,,,15.28,,,,21.072,,,,1.788,,,
485.88,,,,10.16,,,,37.44,,,,196.784,,,
25.92,,,,101.88,,,,26.976,,,,231.92,,,
197.58,,,,644.076,,,,11.36,,,,81.92,,,
19.44,,,,5.84,,,,14.62,,,,889.536,,,
220.776,,,,12.76,,,,5.16,,,,892.224,,,
20.016,,,,10.95,,,,38.88,,,,223.92,,,
399.96,,,,599.98,,,,185.88,,,,23.12,,,
158.9,,,,8.352,,,,44.46,,,,356.79,,,
32.952,,,,447.93,,,,242.94,,,,91.96,,,
218.376,,,,5.176,,,,191.472,,,,258.576,,,
314.352,,,,50.112,,,,5.248,,,,29.6,,,
142.86,,,,15.552,,,,59.184,,,,9.84,,,
40.48,,,,15.712,,,,15.936,,,,7.78,,,
227.976,,,,24.672,,,,1141.47,,,,6.976,,,
159.98,,,,55.968,,,,280.782,,,,12.222,,,
281.424,,,,2.78,,,,322.59,,,,196.776,,,
479.97,,,,79.96,,,,29.99,,,,479.94,,,
46.26,,,,1099.96,,,,371.97,,,,59.52,,,
17.46,,,,2.772,,,,31.4,,,,57.96,,,
1.08,,,,15.48,,,,155.82,,,,441.96,,,
7.96,,,,32.94,,,,70.008,,,,68.04,,,
140.736,,,,114.2,,,,15.648,,,,18.528,,,
93.78,,,,3.08,,,,8.904,,,,107.648,,,
47.18,,,,845.728,,,,20.04,,,,0.556,,,
19.68,,,,26.96,,,,64.96,,,,72.8,,,
53.4,,,,61.96,,,,12.96,,,,26.88,,,
35.88,,,,51.072,,,,149.352,,,,180.98,,,
366.786,,,,47.82,,,,12.992,,,,99.98,,,
19.52,,,,13.05,,,,841.568,,,,1049.44,,,
213.216,,,,590.058,,,,45.056,,,,170.352,,,
1184.72,,,,14.04,,,,29.718,,,,399.672,,,
29.6,,,,912.75,,,,15.552,,,,9.32,,,
17.088,,,,946.344,,,,447.696,,,,15.25,,,
13.184,,,,151.2,,,,17.12,,,,89.568,,,
255.42,,,,4.928,,,,6.096,,,,103.5,,,
101.96,,,,86.272,,,,1114.272,,,,2.464,,,
259.74,,,,72.588,,,,21.88,,,,8.72,,,
20.94,,,,60.672,,,,3.282,,,,25.06,,,
110.96,,,,77.031,,,,599.292,,,,7.9,,,
10.304,,,,119.904,,,,14.624,,,,221.16,,,
330.588,,,,263.96,,,,10.23,,,,127.96,,,
47.79,,,,363.648,,,,154.9,,,,18.69,,,
334.768,,,,9.728,,,,44.02,,,,42.68,,,
152.76,,,,14.75,,,,15.552,,,,299.97,,,
7.27,,,,29.8,,,,63.312,,,,262.24,,,
890.841,,,,427.42,,,,15.588,,,,234.36,,,
2.502,,,,263.88,,,,15.696,,,,26.38,,,
205.666,,,,2453.43,,,,2.628,,,,71.97,,,
127.302,,,,139.424,,,,14.427,,,,14.976,,,
67.8,,,,88.752,,,,86.62,,,,67.78,,,
3.76,,,,2.025,,,,697.16,,,,23.88,,,
5.04,,,,52.2,,,,31.86,,,,11.52,,,
40.05,,,,55.424,,,,722.352,,,,286.93,,,
83.84,,,,255.968,,,,1363.96,,,,206.384,,,
13.272,,,,6.848,,,,102.36,,,,4.928,,,
1125.488,,,,6.688,,,,4.416,,,,63.488,,,
10.464,,,,1212.848,,,,194.848,,,,49.08,,,
82.896,,,,89.97,,,,29.472,,,,25.92,,,
34.24,,,,42.6,,,,6.27,,,,91.59,,,
177.68,,,,6.72,,,,4.368,,,,647.84,,,
180.96,,,,1004.976,,,,31.984,,,,20.7,,,
21.56,,,,206.112,,,,40.88,,,,171.2,,,
18.9,,,,19.92,,,,836.592,,,,3.36,,,
354.9,,,,198.272,,,,26.38,,,,199.98,,,
5.47,,,,247.104,,,,362.92,,,,479.984,,,
21.84,,,,86.304,,,,4899.93,,,,30.84,,,
167.97,,,,26.18,,,,6.48,,,,5.248,,,
154.764,,,,7.3,,,,71.976,,,,35.91,,,
40.68,,,,74.352,,,,3.15,,,,6.696,,,
653.55,,,,335.52,,,,7.04,,,,43.872,,,
13.44,,,,23.912,,,,8.73,,,,53.982,,,
91.96,,,,27.056,,,,29.29,,,,48.784,,,
201.584,,,,5.28,,,,8.64,,,,13.092,,,
83.984,,,,171.96,,,,22.92,,,,111.96,,,
15.552,,,,11.352,,,,100.704,,,,933.408,,,
669.08,,,,453.576,,,,2.328,,,,895.92,,,
438.336,,,,21.48,,,,10.78,,,,776.85,,,
12.624,,,,8.784,,,,58.368,,,,12.294,,,
16.36,,,,307.98,,,,40.968,,,,154.764,,,
340.144,,,,382.806,,,,71.96,,,,43.28,,,
33.11,,,,41.96,,,,10.368,,,,63.88,,,
64.784,,,,1217.568,,,,1.192,,,,26.72,,,
32.382,,,,47.04,,,,6.3,,,,69.93,,,
8.96,,,,6.16,,,,343.92,,,,242.94,,,
399.54,,,,979.95,,,,40.99,,,,40.41,,,
1215.92,,,,143.7,,,,63.9,,,,314.55,,,
99.592,,,,10.65,,,,19.44,,,,90.8,,,
12.35,,,,247.8,,,,124.608,,,,140.736,,,
96.256,,,,201.568,,,,7.56,,,,214.95,,,
10.688,,,,359.058,,,,85.224,,,,45.36,,,
1133.35,,,,3.75,,,,287.52,,,,288.24,,,
13.36,,,,41.4,,,,37.68,,,,1332.496,,,
10.368,,,,29.79,,,,19.98,,,,19.456,,,
6.24,,,,675.96,,,,20.58,,,,209.986,,,
58.112,,,,1265.85,,,,17.38,,,,29.76,,,
181.47,,,,523.25,,,,3.64,,,,89.768,,,
7.644,,,,517.5,,,,159.768,,,,959.984,,,
51.465,,,,1247.64,,,,195.184,,,,15.552,,,
20.86,,,,3149.93,,,,27.93,,,,34.36,,,
497.61,,,,209.7,,,,172.5,,,,30.88,,,
5.34,,,,35.36,,,,179.97,,,,465.16,,,
3.15,,,,3.168,,,,258.696,,,,27.12,,,
48.94,,,,121.104,,,,431.928,,,,174.3,,,
172.11,,,,45.894,,,,95.984,,,,299.9,,,
46.64,,,,1018.104,,,,1088.792,,,,7.992,,,
60.416,,,,196.62,,,,544.008,,,,49.616,,,
308.499,,,,21.936,,,,1.872,,,,6.48,,,
75.6,,,,6.588,,,,854.352,,,,46.51,,,
187.76,,,,63.96,,,,593.568,,,,659.976,,,
779.796,,,,14.46,,,,338.04,,,,445.44,,,
21.4,,,,104.98,,,,11.21,,,,44.376,,,
489.23,,,,106.96,,,,9.144,,,,51.264,,,
317.058,,,,21.56,,,,14.07,,,,5.193,,,
15.78,,,,11.808,,,,41.86,,,,159.984,,,
45.98,,,,1931.04,,,,8.544,,,,54.224,,,
14.52,,,,9.96,,,,579.136,,,,310.12,,,
49.632,,,,11.61,,,,113.79,,,,70.464,,,
4.368,,,,14.304,,,,78.15,,,,19.68,,,
76.14,,,,159.984,,,,1.728,,,,140.67,,,
744.1,,,,255.968,,,,40.56,,,,17.456,,,
16.224,,,,359.058,,,,182.94,,,,18.75,,,
7.104,,,,434.352,,,,193.86,,,,119.7,,,
398.352,,,,3.552,,,,839.988,,,,9.144,,,
121.792,,,,88.832,,,,47.952,,,,57.06,,,
401.59,,,,31.44,,,,37.425,,,,71.6,,,
10.56,,,,17.9,,,,63.968,,,,107.44,,,
3.38,,,,129.45,,,,165.048,,,,7.31,,,
79.47,,,,206.962,,,,22,,,,59.1,,,
4.56,,,,360.712,,,,398.352,,,,46.53,,,
59.92,,,,1718.4,,,,8.72,,,,13.776,,,
46.864,,,,41.568,,,,27.882,,,,10.272,,,
5.104,,,,411.332,,,,540.048,,,,4.608,,,
2.896,,,,28.752,,,,255.68,,,,2.688,,,
149.97,,,,293.199,,,,17.616,,,,27.816,,,
275.97,,,,368.91,,,,69.9,,,,82.524,,,
1394.95,,,,14.7,,,,41.85,,,,182.994,,,
281.372,,,,6.58,,,,102.336,,,,23.832,,,
479.96,,,,122.94,,,,48.792,,,,46.2,,,
320.88,,,,134.97,,,,44.848,,,,537.544,,,
281.372,,,,699.98,,,,10.368,,,,13.9,,,
26.76,,,,139.95,,,,388.43,,,,19.4,,,
15,,,,170.136,,,,14.352,,,,90.86,,,
161.61,,,,7.38,,,,63.992,,,,28.91,,,
144.95,,,,9.26,,,,86.352,,,,19.824,,,
29.68,,,,9.96,,,,278.4,,,,657.504,,,
56.4,,,,38.88,,,,14.9,,,,99.54,,,
4.224,,,,207,,,,39.88,,,,199.96,,,
333.056,,,,40.096,,,,12.192,,,,14.624,,,
24.896,,,,40.784,,,,20.82,,,,697.16,,,
135.99,,,,34.76,,,,13.216,,,,30.93,,,
11.34,,,,831.2,,,,32.4,,,,27.496,,,
80.3,,,,26.4,,,,114.95,,,,381.36,,,
15.968,,,,106.75,,,,572.76,,,,8.94,,,
64.74,,,,97.82,,,,286.38,,,,2.91,,,
19.296,,,,141.4,,,,419.944,,,,265.93,,,
405.64,,,,137.62,,,,46.76,,,,238,,,
22.336,,,,100.49,,,,17.712,,,,61.96,,,
20.784,,,,31.104,,,,21.78,,,,56.704,,,
12.39,,,,78.256,,,,161.94,,,,274.064,,,
303.25,,,,29.34,,,,161.568,,,,277.4,,,
23.68,,,,383.607,,,,3.69,,,,5.78,,,
1487.04,,,,563.4,,,,122.12,,,,1805.88,,,
636.408,,,,487.984,,,,155.372,,,,725.84,,,
