Sales 2016,Moving Average,Sales 2017,Moving Average,Sales 2018,Moving Average,Sales 2019,Moving Average,,,,,,,
19.92,134.8875,79.9,216.023,177.225,160.14425,79.92,255.21375,,,,,,,
2.89,18.385,209.93,247.9135,4.044,56.23525,12.28,250.29175,,,,,,,
17.856,11.9565,5.28,235.7535,7.408,55.16525,542.94,164.209,,,,,,,
509.97,137.659,10.92,76.5075,321.568,127.56125,2.04,159.295,,,,,,,
30.992,140.427,2.08,57.0525,7.61,85.1575,207.846,191.2765,,,,,,,
71.928,157.6865,1114.4,283.17,3347.37,920.989,160.776,228.4005,,,,,,,
211.96,206.2125,1038.84,541.56,80.58,939.282,24.2,98.7155,,,,,,,
575.92,222.7,141.76,574.27,361.92,949.37,359.976,188.1995,,,,,,,
115.36,243.792,239.8,633.7,328.224,1029.5235,3.52,137.118,,,,,,,
5.184,227.106,31.104,362.876,7.56,194.571,11.52,99.804,,,,,,,
234.45,232.7285,26.8,109.866,254.058,237.9405,242.94,154.489,,,,,,,
2.624,89.4045,4.752,75.614,194.528,196.0925,179.97,109.4875,,,,,,,
246.384,122.1605,959.984,255.66,961.48,354.4065,99.696,133.5315,,,,,,,
1799.97,570.857,14.368,251.476,19.096,357.2905,27.936,137.6355,,,,,,,
12.462,515.36,4.96,246.016,18.496,298.4,84.98,98.1455,,,,,,,
9.568,517.096,88.8,267.028,255.984,313.764,18.72,57.833,,,,,,,
39.072,465.268,8.652,29.195,86.97,95.1365,348.208,119.961,,,,,,,
239.97,75.268,23.832,31.561,32.4,98.4625,35.784,121.923,,,,,,,
69.99,89.65,12.176,33.365,1082.48,364.4585,14.4,104.278,,,,,,,
4.812,88.461,41.9,21.64,56.91,314.69,619.95,254.5855,,,,,,,
62.31,94.2705,375.4575,113.341375,77.6,312.3475,89.52,189.9135,,,,,,,
9.94,36.763,83.976,128.377375,14.28,307.8175,350.973,268.71075,,,,,,,
340.92,104.4955,482.34,245.918375,15.136,40.9815,164.99,306.35825,,,,,,,
545.94,239.7775,2.96,236.183375,466.768,143.446,268.576,218.51475,,,,,,,
703.968,400.192,70.12,159.849,15.232,127.854,2999.95,946.12225,,,,,,,
92.52,420.837,103.92,164.835,6.264,125.85,51.45,871.2415,,,,,,,
62.65,351.2695,899.91,269.2275,251.52,184.946,11.96,832.984,,,,,,,
94.85,238.497,51.312,281.3155,99.99,93.2515,1126.02,1047.345,,,,,,,
151.2,100.305,254.744,327.4715,290.898,162.168,15.12,301.1375,,,,,,,
73.98,95.67,55.48,315.3615,54.224,174.158,7.872,290.243,,,,,,,
479.97,200,105.42,116.739,786.744,307.964,210.98,339.998,,,,,,,
2735.952,860.2755,2.74,104.596,100.24,308.0265,19.68,63.413,,,,,,,
7.992,824.4735,8.34,42.995,37.764,244.743,25.92,66.113,,,,,,,
32.96,814.2185,46.74,40.81,82.8,251.887,6.48,65.765,,,,,,,
70.368,711.818,6354.95,1603.1925,20.724,60.382,86.352,34.608,,,,,,,
449.15,140.1175,18.392,1607.1055,4.896,36.546,95.984,53.684,,,,,,,
11.07,140.887,129.568,1637.4125,6.79,28.8025,4.938,48.4385,,,,,,,
82.8,153.347,14.112,1629.2555,24.56,14.2425,5.67,48.236,,,,,,,
170.24,178.315,22.2,46.068,3.048,9.8235,25.86,33.113,,,,,,,
100.792,91.2255,36.336,50.554,49.12,20.8795,276.784,78.313,,,,,,,
333.999,171.95775,666.248,184.724,4355.168,1107.974,110.352,104.6665,,,,,,,
19.456,156.12175,52.512,194.324,388.704,1199.01,15.47,107.1165,,,,,,,
13,116.81175,190.72,236.454,8.26,1200.313,7.16,102.4415,,,,,,,
14.56,95.25375,10.752,230.058,17.04,1192.293,18.16,37.7855,,,,,,,
646.74,173.439,152.94,101.731,34.4,112.101,11.84,13.1575,,,,,,,
45.48,179.945,283.92,159.583,36.24,23.985,62.72,24.97,,,,,,,
21.36,182.035,646.776,273.597,23.2,27.72,2939.93,758.1625,,,,,,,
93.024,201.651,250.272,333.477,7.36,25.3,14.016,757.1265,,,,,,,
218.75,94.6535,11.364,298.083,104.79,42.8975,71.976,772.1605,,,,,,,
1256.22,397.3385,8.72,229.283,1043.92,294.8175,107.982,783.476,,,,,,,
142.776,427.6925,3.96,68.579,99.136,313.8015,137.94,82.9785,,,,,,,
60.89,419.659,2.61,6.6635,50.96,324.7015,239.97,139.467,,,,,,,
7.218,366.776,160.72,44.0025,49.536,310.888,37.74,130.908,,,,,,,
43.188,63.518,19.92,46.8025,35.952,58.896,279.9,173.8875,,,,,,,
131.904,60.8,7.3,47.6375,2396.2656,633.1784,449.91,251.88,,,,,,,
3.282,46.398,51.52,59.865,131.136,653.2224,12.128,194.9195,,,,,,,
21.168,49.8855,70.98,37.43,57.584,655.2344,8.34,187.5695,,,,,,,
55.188,52.8855,294.93,106.1825,383.8,742.1964,8.57,119.737,,,,,,,
8.69,22.082,301.96,179.8475,189.588,190.527,119.616,37.1635,,,,,,,
332.94,104.4965,555.21,305.77,408.744,259.929,5.22,35.4365,,,,,,,
66.3,115.7795,523.48,418.895,291.96,318.523,4.768,34.5435,,,,,,,
5.58,103.3775,161.82,385.6175,4.768,223.765,12.96,35.641,,,,,,,
177.536,145.589,392.94,408.3625,714.3,354.943,94.85,29.4495,,,,,,,
129.568,94.746,999.432,519.418,1007.979,504.75175,13.48,31.5145,,,,,,,
284.82,149.376,724.08,569.568,313.488,510.13375,14.91,34.05,,,,,,,
36.84,157.191,918.785,758.80925,12.22,511.99675,18.28,35.38,,,,,,,
10.368,115.399,2.724,661.25525,194.94,382.15675,207,63.4175,,,,,,,
166.84,124.717,166.24,452.95725,70.95,147.8995,32.35,68.135,,,,,,,
79.984,73.508,33.4,280.28725,91.36,92.3675,7.71,66.335,,,,,,,
62.31,79.8755,198.272,100.159,242.94,150.0475,40.3,71.84,,,,,,,
25.16,83.5735,47.36,111.318,22.05,106.825,34.58,28.735,,,,,,,
46.72,53.5435,200.984,120.004,59.52,103.9675,129.3,52.9725,,,,,,,
55.48,47.4175,97.696,136.078,161.94,121.6125,12.74,54.23,,,,,,,
32.432,39.948,2.696,87.184,263.88,126.8475,8.82,46.36,,,,,,,
20.32,38.738,18.588,79.991,30.48,128.955,120.784,67.911,,,,,,,
59.808,42.01,4.896,30.969,9.84,116.535,419.136,140.37,,,,,,,
457.568,142.532,369.912,99.023,35.12,84.83,69.375,154.52875,,,,,,,
634.116,292.953,79.92,118.329,63.88,34.83,31.68,160.24375,,,,,,,
159.98,327.868,58.32,128.262,747.558,214.0995,2003.168,630.83975,,,,,,,
11.36,315.756,107.982,154.0335,8.928,213.8715,9.344,528.39175,,,,,,,
50.94,214.099,544.008,197.5575,23.56,210.9815,604.768,662.24,,,,,,,
5.64,56.98,59.94,192.5625,1272.63,513.169,59.97,669.3125,,,,,,,
362.25,107.5475,23.92,183.9625,28.485,333.40075,78.304,188.0965,,,,,,,
359.32,194.5375,4.28,158.037,185.376,377.51275,21.456,191.1245,,,,,,,
24.56,187.9425,32.07,30.0525,78.272,391.19075,86.26,61.4975,,,,,,,
99.98,211.5275,24,21.0675,4.788,74.23025,139.04,81.265,,,,,,,
572.58,264.11,35.49,23.96,95.76,91.049,46.8,73.389,,,,,,,
1325.85,505.7425,47.984,34.886,40.2,54.755,210.58,120.67,,,,,,,
116.784,528.7985,186.69,73.541,14.7,38.862,30.96,106.845,,,,,,,
19.9,508.7785,348.928,154.773,704.25,213.7275,239.984,132.081,,,,,,,
37.408,374.9855,143.96,181.8905,93.98,213.2825,5.229,121.68825,,,,,,,
63.552,59.411,15.42,173.7495,189.882,250.703,285.552,140.43125,,,,,,,
32.76,38.405,43.04,137.837,119.616,276.932,3.882,133.66175,,,,,,,
9.96,35.92,332.94,133.84,255.76,164.8095,115.296,102.48975,,,,,,,
21.72,31.998,132.79,131.0475,241.568,201.7065,5.184,102.4785,,,,,,,
43.176,26.904,12.96,130.4325,69.3,171.561,65.584,47.4865,,,,,,,
1983.968,514.706,21.56,125.0625,22.62,147.312,22.2,52.066,,,,,,,
11.52,515.096,283.92,112.8075,14.952,87.11,419.4,128.092,,,,,,,
376.509,603.79325,28.4,86.71,801.568,227.11,32.67,134.9635,,,,,,,
213.92,646.47925,149.97,120.9625,2.376,210.379,243.992,179.5655,,,,,,,
33.9,158.96225,51.84,128.5325,32.792,212.922,7.12,175.7955,,,,,,,
41.472,166.45025,60.45,72.665,7.152,210.972,1640.7,481.1205,,,,,,,
3.168,73.115,11.52,68.445,55.176,24.374,371.2,565.753,,,,,,,
302.45,95.2475,186.048,77.4645,66.26,40.345,359.97,594.7475,,,,,,,
31.086,94.544,83.72,85.4345,979.95,277.1345,240.784,653.1635,,,,,,,
335.52,168.056,287.94,142.307,22.75,281.034,227.46,299.8535,,,,,,,
299.97,242.2565,34.44,148.037,16.768,271.432,46.24,218.6135,,,,,,,
399.96,266.634,30.84,109.235,380.864,350.083,29.9,136.096,,,,,,,
51.184,271.6585,13.944,91.791,1121.568,385.4875,252.784,139.096,,,,,,,
383.976,283.7725,22.2,25.356,20.7,384.975,127.984,114.227,,,,,,,
1089.75,481.2175,85.14,38.031,1335.68,714.703,3.984,103.663,,,,,,,
447.84,493.1875,21.99,35.8185,32.4,627.587,12.992,99.436,,,,,,,
16.4,484.4915,406.6,133.9825,8.82,349.4,21.12,41.52,,,,,,,
7.36,390.3375,46.2,139.9825,84.784,365.421,354.9,98.249,,,,,,,
23.1,123.675,28.84,125.9075,20.736,36.685,203.983,148.24875,,,,,,,
3.438,12.5745,12.96,123.65,16.821,32.79025,23.12,150.78075,,,,,,,
626.352,165.0625,134.48,55.62,10.368,33.17725,21.336,150.83475,,,,,,,
44.91,174.45,32.4,52.17,11.632,14.88925,963.136,302.89375,,,,,,,
11.36,171.515,540.57,180.1025,143.982,45.70075,88.776,274.092,,,,,,,
106.344,197.2415,167.76,218.8025,494.376,165.0895,20.7,273.487,,,,,,,
5.892,42.1265,393.165,283.47375,5.84,163.9575,147.568,305.045,,,,,,,
48.712,43.077,204.6,326.52375,369.576,253.4435,6.63,65.9185,,,,,,,
34.68,48.907,6.24,192.94125,15.712,221.376,799.96,243.7145,,,,,,,
103.6,48.221,34.02,159.50625,8.448,99.894,107.53,265.422,,,,,,,
436.704,155.924,1.112,61.493,728.946,280.6705,25.02,234.785,,,,,,,
481.568,264.138,1166.92,302.073,243.384,249.1225,10.71,235.805,,,,,,,
8.568,257.61,10.67,303.1805,119.8,275.1445,17.94,40.3,,,,,,,
24.56,237.85,36.63,303.833,300.768,348.2245,90.64,36.0775,,,,,,,
15.552,132.562,24.1,309.58,18.882,170.7085,37.94,39.3075,,,,,,,
335.944,96.156,33.11,26.1275,122.328,140.4445,579.51,181.5075,,,,,,,
4.608,95.166,2309.65,600.8725,1049.2,372.7945,14.99,180.77,,,,,,,
8.32,91.106,1090.782,864.4105,15.424,301.4585,18.368,162.702,,,,,,,
61.96,102.708,19.44,863.2455,18.84,301.448,600.558,303.3565,,,,,,,
149.95,56.2095,484.65,976.1305,31.56,278.756,50.352,171.067,,,,,,,
127.104,86.8335,115.296,427.542,30.144,23.992,28.032,174.3275,,,,,,,
3.392,85.6015,7.08,156.6165,14.8,23.836,7.692,171.6585,,,,,,,
559.984,210.1075,4.401,152.85675,302.376,94.72,480.96,141.759,,,,,,,
1139.92,457.6,1618.37,436.28675,316,165.83,124.792,160.369,,,,,,,
2715.93,1104.8065,99.6,432.36275,379.4,253.144,29.16,160.651,,,,,,,
617.97,1258.451,32.4,438.69275,113.552,277.832,11.76,161.668,,,,,,,
45.696,1129.879,13.96,441.0825,3.318,203.0675,166.45,83.0405,,,,,,,
21.84,850.359,155.82,75.445,134.288,157.6395,89.0664,74.1091,,,,,,,
15.6,175.2765,124.95,81.7825,701.372,238.1325,175.44,110.6791,,,,,,,
1579.746,415.7205,601.65,224.095,2.308,210.3215,438.336,217.3231,,,,,,,
1071.576,672.1905,22.74,226.29,459.95,324.4795,455.97,289.7031,,,,,,,
14.62,670.3855,1267.53,504.2175,10.74,293.5925,5.715,268.86525,,,,,,,
1113.504,944.8615,1379.92,817.96,14.352,121.8375,57.594,239.40375,,,,,,,
217.44,604.285,6.208,669.0995,64.96,137.5005,30.144,137.35575,,,,,,,
613.908,489.868,36.624,672.5705,68.6,39.663,899.43,248.22075,,,,,,,
124.2,517.263,168.464,397.804,209.88,89.448,167.976,288.786,,,,,,,
18.588,243.534,6.72,54.504,146.82,122.565,109.53,301.77,,,,,,,
30.768,196.866,282.888,123.674,1652.94,519.56,9.82,296.689,,,,,,,
30.072,50.907,11.16,117.308,296.37,576.5025,1245.86,383.2965,,,,,,,
64.864,36.073,108.4,102.292,45.584,535.4285,11.22,344.1075,,,,,,,
122.352,62.014,82.344,121.198,182.72,544.4035,12.84,319.935,,,,,,,
1198.33,353.9045,9.088,52.748,400.032,231.1765,44.67,328.6475,,,,,,,
8.72,348.5665,107.772,76.901,33.63,165.4915,22.23,22.74,,,,,,,
6.48,333.9705,45.216,61.105,542.646,289.757,215.968,73.927,,,,,,,
686.32,474.9625,10.416,43.123,6.3,245.652,6.56,72.357,,,,,,,
62.18,190.925,7.872,42.819,51.52,158.524,13.11,64.467,,,,,,,
122.48,219.365,118.782,45.5715,3.528,150.9985,9.432,61.2675,,,,,,,
111,245.495,1.448,34.6295,4.624,16.493,333.576,90.6695,,,,,,,
62.31,89.4925,55.47,45.893,55.168,28.71,31.992,97.0275,,,,,,,
4.992,75.1955,25.176,50.219,11.992,18.828,51.168,106.542,,,,,,,
53.94,58.0605,19.46,25.3885,1199.976,317.94,10.64,106.844,,,,,,,
9.99,32.808,19.92,30.0065,383.438,412.6435,68.704,40.626,,,,,,,
125.76,48.6705,1106.91,292.8665,641.96,559.3415,386.91,129.3555,,,,,,,
25.32,53.7525,120.15,316.61,1363.96,897.3335,47.904,128.5395,,,,,,,
46.8,51.9675,219.184,366.541,355.32,686.1695,37.44,135.2395,,,,,,,
22.38,55.065,28.9,368.786,12.96,593.55,8.4,120.1635,,,,,,,
16.52,27.755,355.96,181.0485,5.344,434.396,71.96,41.426,,,,,,,
11.56,24.315,279.9,220.986,35.216,102.21,4.956,30.689,,,,,,,
1322.93,343.3475,619.95,321.1775,23.696,19.304,123.92,52.309,,,,,,,
3.76,338.6925,4.36,315.0425,265.475,82.43275,1319.8,380.159,,,,,,,
12.096,337.5865,15.28,229.8725,21.072,86.36475,1.788,362.616,,,,,,,
485.88,456.1665,10.16,162.4375,37.44,86.92075,196.784,410.573,,,,,,,
25.92,131.914,101.88,32.92,26.976,87.74075,231.92,437.573,,,,,,,
197.58,180.369,644.076,192.849,11.36,24.212,81.92,128.103,,,,,,,
19.44,182.205,5.84,190.489,14.62,22.599,889.536,350.04,,,,,,,
220.776,115.929,12.76,191.139,5.16,14.529,892.224,523.9,,,,,,,
20.016,114.453,10.95,168.4065,38.88,17.505,223.92,521.9,,,,,,,
399.96,165.048,599.98,157.3825,185.88,61.135,23.12,507.2,,,,,,,
158.9,199.913,8.352,158.0105,44.46,68.595,356.79,374.0135,,,,,,,
32.952,152.957,447.93,266.803,242.94,128.04,91.96,173.9475,,,,,,,
218.376,202.547,5.176,265.3595,191.472,166.188,258.576,182.6115,,,,,,,
314.352,181.145,50.112,127.8925,5.248,121.03,29.6,184.2315,,,,,,,
142.86,177.135,15.552,129.6925,59.184,124.711,9.84,97.494,,,,,,,
40.48,179.017,15.712,21.638,15.936,67.96,7.78,76.449,,,,,,,
227.976,181.417,24.672,26.512,1141.47,305.4595,6.976,13.549,,,,,,,
159.98,142.824,55.968,27.976,280.782,374.343,12.222,9.2045,,,,,,,
281.424,177.465,2.78,24.783,322.59,440.1945,196.776,55.9385,,,,,,,
479.97,287.3375,79.96,40.845,29.99,443.708,479.94,173.9785,,,,,,,
46.26,241.9085,1099.96,309.667,371.97,251.333,59.52,187.1145,,,,,,,
17.46,206.2785,2.772,296.368,31.4,188.9875,57.96,198.549,,,,,,,
1.08,136.1925,15.48,299.543,155.82,147.295,441.96,259.845,,,,,,,
7.96,18.19,32.94,287.788,70.008,157.2995,68.04,156.87,,,,,,,
140.736,41.809,114.2,41.348,15.648,68.219,18.528,146.622,,,,,,,
93.78,60.889,3.08,41.425,8.904,62.595,107.648,159.044,,,,,,,
47.18,72.414,845.728,248.987,20.04,28.65,0.556,48.693,,,,,,,
19.68,75.344,26.96,247.492,64.96,27.388,72.8,49.883,,,,,,,
53.4,53.51,61.96,234.432,12.96,26.716,26.88,51.971,,,,,,,
35.88,39.035,51.072,246.43,149.352,61.828,180.98,70.304,,,,,,,
366.786,118.9365,47.82,46.953,12.992,60.066,99.98,95.16,,,,,,,
19.52,118.8965,13.05,43.4755,841.568,254.218,1049.44,339.32,,,,,,,
213.216,158.8505,590.058,175.5,45.056,262.242,170.352,375.188,,,,,,,
1184.72,446.0605,14.04,166.242,29.718,232.3335,399.672,429.861,,,,,,,
29.6,361.764,912.75,382.4745,15.552,232.9735,9.32,407.196,,,,,,,
17.088,361.156,946.344,615.798,447.696,134.5055,15.25,148.6485,,,,,,,
13.184,311.148,151.2,506.0835,17.12,127.5215,89.568,128.4525,,,,,,,
255.42,78.823,4.928,503.8055,6.096,121.616,103.5,54.4095,,,,,,,
101.96,96.913,86.272,297.186,1114.272,396.296,2.464,52.6955,,,,,,,
259.74,157.576,72.588,78.747,21.88,289.842,8.72,51.063,,,,,,,
20.94,159.515,60.672,56.115,3.282,286.3825,25.06,34.936,,,,,,,
110.96,123.4,77.031,74.14075,599.292,434.6815,7.9,11.036,,,,,,,
10.304,100.486,119.904,82.54875,14.624,159.7695,221.16,65.71,,,,,,,
330.588,118.198,263.96,130.39175,10.23,156.857,127.96,95.52,,,,,,,
47.79,124.9105,363.648,206.13575,154.9,194.7615,18.69,93.9275,,,,,,,
334.768,180.8625,9.728,189.31,44.02,55.9435,42.68,102.6225,,,,,,,
152.76,216.4765,14.75,163.0215,15.552,56.1755,299.97,122.325,,,,,,,
7.27,135.647,29.8,104.4815,63.312,69.446,262.24,155.895,,,,,,,
890.841,346.40975,427.42,120.4245,15.588,34.618,234.36,209.8125,,,,,,,
2.502,263.34325,263.88,183.9625,15.696,27.537,26.38,205.7375,,,,,,,
205.666,276.56975,2453.43,793.6325,2.628,24.306,71.97,148.7375,,,,,,,
127.302,306.57775,139.424,821.0385,14.427,12.08475,14.976,86.9215,,,,,,,
67.8,100.8175,88.752,736.3715,86.62,29.84275,67.78,45.2765,,,,,,,
3.76,101.132,2.025,670.90775,697.16,200.20875,23.88,44.6515,,,,,,,
5.04,50.9755,52.2,70.60025,31.86,207.51675,11.52,29.539,,,,,,,
40.05,29.1625,55.424,49.60025,722.352,384.498,286.93,97.5275,,,,,,,
83.84,33.1725,255.968,91.40425,1363.96,703.833,206.384,132.1785,,,,,,,
13.272,35.5505,6.848,92.61,102.36,555.133,4.928,127.4405,,,,,,,
1125.488,315.6625,6.688,81.232,4.416,548.272,63.488,140.4325,,,,,,,
10.464,308.266,1212.848,370.588,194.848,416.396,49.08,80.97,,,,,,,
82.896,308.03,89.97,329.0885,29.472,82.774,25.92,35.854,,,,,,,
34.24,313.272,42.6,338.0265,6.27,58.7515,91.59,57.5195,,,,,,,
177.68,76.32,6.72,338.0345,4.368,58.7395,647.84,203.6075,,,,,,,
180.96,118.944,1004.976,286.0665,31.984,18.0235,20.7,196.5125,,,,,,,
21.56,103.61,206.112,315.102,40.88,20.8755,171.2,232.8325,,,,,,,
18.9,99.775,19.92,309.432,836.592,228.456,3.36,210.775,,,,,,,
354.9,144.08,198.272,357.32,26.38,233.959,199.98,98.81,,,,,,,
5.47,100.2075,247.104,167.852,362.92,316.693,479.984,213.631,,,,,,,
21.84,100.2775,86.304,137.9,4899.93,1531.4555,30.84,178.541,,,,,,,
167.97,137.545,26.18,139.465,6.48,1323.9275,5.248,179.013,,,,,,,
154.764,87.511,7.3,91.722,71.976,1335.3265,35.91,137.9955,,,,,,,
40.68,96.3135,74.352,48.534,3.15,1245.384,6.696,19.6735,,,,,,,
653.55,254.241,335.52,110.838,7.04,22.1615,43.872,22.9315,,,,,,,
13.44,215.6085,23.912,110.271,8.73,22.724,53.982,35.115,,,,,,,
91.96,199.9075,27.056,115.21,29.29,12.0525,48.784,38.3335,,,,,,,
201.584,240.1335,5.28,97.942,8.64,13.425,13.092,39.9325,,,,,,,
83.984,97.742,171.96,57.052,22.92,17.395,111.96,56.9545,,,,,,,
15.552,98.27,11.352,53.912,100.704,40.3885,933.408,276.811,,,,,,,
669.08,242.55,453.576,160.542,2.328,33.648,895.92,488.595,,,,,,,
438.336,301.738,21.48,164.592,10.78,34.183,776.85,679.5345,,,,,,,
12.624,283.898,8.784,123.798,58.368,43.045,12.294,654.618,,,,,,,
16.36,284.1,307.98,197.955,40.968,28.111,154.764,459.957,,,,,,,
340.144,201.866,382.806,180.2625,71.96,45.519,43.28,246.797,,,,,,,
33.11,100.5595,41.96,185.3825,10.368,45.416,63.88,68.5545,,,,,,,
64.784,113.5995,1217.568,487.5785,1.192,31.122,26.72,72.161,,,,,,,
32.382,117.605,47.04,422.3435,6.3,22.455,69.93,50.9525,,,,,,,
8.96,34.809,6.16,328.182,343.92,90.445,242.94,100.8675,,,,,,,
399.54,126.4165,979.95,562.6795,40.99,98.1005,40.41,95,,,,,,,
1215.92,414.2005,143.7,294.2125,63.9,113.7775,314.55,166.9575,,,,,,,
99.592,431.003,10.65,285.115,19.44,117.0625,90.8,172.175,,,,,,,
12.35,431.8505,247.8,345.525,124.608,62.2345,140.736,146.624,,,,,,,
