Sales 2016,Quantity 2016,Discount 2016,Profit 2016,Sales 2017,Quantity 2017,Discount 2017,Profit 2017,Sales 2018,Quantity 2018,Discount 2018,Profit 2018,Sales 2019,Quantity 2019,Discount 2019,Profit 2019,,,,,,,
78.6,5,0.7,-62.88,5.584,2,0.2,1.8148,203.184,2,0.2,15.2388,21.4,5,0,6.206,,,,,,,
27.552,3,0.2,9.2988,22.704,6,0.2,8.2302,14.62,2,0,6.8714,32.784,4,0.8,-52.4544,,,,,,,
9.84,3,0,2.8536,19.776,4,0.7,-13.8432,944.93,7,0,236.2325,47.984,2,0.2,14.3952,,,,,,,
45.48,3,0,20.9208,72.704,4,0.2,19.0848,5.98,1,0,2.691,62.592,8,0.2,13.3008,,,,,,,
289.2,6,0,83.868,479.988,4,0.7,-383.9904,28.4,5,0,13.348,4.276,1,0.8,-6.6278,,,,,,,
9.344,2,0.2,1.168,27.168,2,0.2,2.7168,27.68,2,0.2,9.688,27.92,4,0,8.0968,,,,,,,
39.96,2,0,18.7812,2.2,1,0,0.968,7.16,2,0,3.4368,399.672,7,0.2,-14.9877,,,,,,,
102.3,10,0,26.598,622.45,5,0,136.939,37.224,3,0.2,3.7224,5443.96,4,0,2504.2216,,,,,,,
99.136,4,0.2,8.6744,21.98,1,0,0.2198,20.016,3,0.2,6.255,302.67,3,0,72.6408,,,,,,,
51.94,1,0,21.2954,161.568,2,0.2,-28.2744,93.06,6,0,26.0568,56.07,7,0,25.2315,,,,,,,
3991.98,2,0,1995.99,389.696,8,0.2,43.8408,302.376,3,0.2,22.6782,6,2,0.2,2.1,,,,,,,
275.94,6,0,80.0226,12.132,9,0.6,-8.4924,25.92,5,0.2,9.396,429.6,2,0.4,-93.08,,,,,,,
468.9,6,0,206.316,82.368,2,0.2,-19.5624,419.68,5,0.6,-356.728,31.968,2,0.2,6.3936,,,,,,,
43.57,1,0,13.071,53.92,5,0.2,4.044,11.688,3,0.6,-4.6752,887.271,3,0.3,-63.3765,,,,,,,
7.16,2,0,3.58,647.904,6,0.2,56.6916,31.984,2,0.2,11.1944,21.696,4,0.2,7.0512,,,,,,,
19.92,5,0.2,6.972,79.9,2,0,35.156,177.225,5,0.5,-120.513,79.92,4,0,37.5624,,,,,,,
2.89,1,0,1.3583,209.93,7,0,92.3692,4.044,3,0.6,-2.8308,12.28,1,0,5.7716,,,,,,,
17.856,4,0.2,1.116,5.28,3,0,2.3232,7.408,2,0.2,1.2038,542.94,3,0,152.0232,,,,,,,
509.97,10,0.7,-407.976,10.92,3,0.2,4.095,321.568,2,0.2,28.1372,2.04,1,0,0.9588,,,,,,,
30.992,13,0.2,10.0724,2.08,5,0.8,-3.432,7.61,1,0,3.5767,207.846,3,0.1,2.3094,,,,,,,
71.928,12,0.4,8.3916,1114.4,7,0.2,376.11,3347.37,13,0,636.0003,160.776,3,0.2,10.0485,,,,,,,
211.96,4,0,8.4784,1038.84,5,0.2,51.942,80.58,6,0,22.5624,24.2,5,0,7.986,,,,,,,
575.92,2,0.2,71.99,141.76,5,0.2,47.844,361.92,4,0,162.864,359.976,3,0.2,130.4913,,,,,,,
115.36,7,0,49.6048,239.8,5,0.2,47.96,328.224,4,0.2,28.7196,3.52,2,0,1.0208,,,,,,,
5.184,6,0.7,-3.6288,31.104,6,0.2,10.8864,7.56,6,0,0.3024,11.52,5,0.2,4.176,,,,,,,
234.45,3,0,103.158,26.8,2,0,12.864,254.058,7,0.7,-169.372,242.94,3,0,9.7176,,,,,,,
2.624,1,0.2,0.4264,4.752,1,0.2,1.6038,194.528,2,0.2,24.316,179.97,3,0,86.3856,,,,,,,
246.384,2,0.2,27.7182,959.984,2,0.2,335.9944,961.48,5,0.2,-204.3145,99.696,6,0.2,33.6474,,,,,,,
1799.97,3,0,701.9883,14.368,4,0.2,4.49,19.096,7,0.2,6.6836,27.936,4,0.2,9.4284,,,,,,,
12.462,3,0.8,-20.5623,4.96,4,0,2.3312,18.496,8,0.2,6.2424,84.98,1,0,18.6956,,,,,,,
9.568,2,0.2,3.4684,88.8,4,0.2,-2.22,255.984,2,0.2,54.3966,18.72,5,0.2,6.552,,,,,,,
39.072,6,0.2,9.768,8.652,3,0.8,-20.3322,86.97,3,0.5,-48.7032,348.208,7,0.2,30.4682,,,,,,,
239.97,3,0,86.3892,23.832,3,0.2,2.6811,32.4,5,0,15.552,35.784,7,0.7,-28.6272,,,,,,,
69.99,1,0,30.0957,12.176,4,0.8,-18.8728,1082.48,8,0,10.8248,14.4,5,0,7.056,,,,,,,
4.812,2,0.7,-3.6892,41.9,2,0,8.799,56.91,3,0,27.3168,619.95,5,0,111.591,,,,,,,
62.31,3,0,22.4316,375.4575,3,0.45,-157.0095,77.6,4,0,38.024,89.52,4,0,42.0744,,,,,,,
9.94,2,0,3.0814,83.976,3,0.2,-1.0497,14.28,1,0,6.5688,350.973,3,0.1,152.0883,,,,,,,
340.92,3,0,3.4092,482.34,4,0.7,-337.638,15.136,4,0.2,3.5948,164.99,1,0,49.497,,,,,,,
545.94,6,0,87.3504,2.96,1,0.2,0.777,466.768,2,0.2,52.5114,268.576,4,0.2,90.6444,,,,,,,
703.968,4,0.2,87.996,70.12,4,0,21.036,15.232,1,0.2,1.7136,2999.95,5,0,1379.977,,,,,,,
92.52,6,0,24.9804,103.92,4,0,36.372,6.264,3,0.2,2.0358,51.45,3,0,13.8915,,,,,,,
62.65,7,0,28.819,899.91,9,0,377.9622,251.52,6,0.2,81.744,11.96,2,0,5.382,,,,,,,
94.85,5,0,45.528,51.312,3,0.2,18.6006,99.99,1,0,34.9965,1126.02,3,0,56.301,,,,,,,
151.2,3,0.2,32.13,254.744,7,0.6,-312.0614,290.898,3,0.4,-67.8762,15.12,5,0.2,4.914,,,,,,,
73.98,2,0,19.9746,55.48,1,0,26.6304,54.224,2,0.2,3.389,7.872,3,0.2,0.8856,,,,,,,
479.97,3,0,177.5889,105.42,2,0,51.6558,786.744,4,0.3,-258.5016,210.98,2,0,21.098,,,,,,,
2735.952,6,0.2,341.994,2.74,1,0,0.7398,100.24,10,0.2,33.831,19.68,5,0.2,6.888,,,,,,,
7.992,1,0.2,0.5994,8.34,3,0,2.1684,37.764,6,0.7,-27.6936,25.92,4,0,12.4416,,,,,,,
32.96,2,0,14.1728,46.74,3,0,11.685,82.8,2,0.4,-20.7,6.48,1,0,3.1104,,,,,,,
70.368,2,0.2,6.1572,6354.95,5,0,3177.475,20.724,2,0.7,-13.816,86.352,6,0.2,8.6352,,,,,,,
449.15,5,0,8.983,18.392,1,0.2,5.2877,4.896,3,0.7,-3.4272,95.984,2,0.2,11.998,,,,,,,
11.07,3,0,5.0922,129.568,2,0.2,-25.9136,6.79,1,0,2.3086,4.938,2,0.7,-3.6212,,,,,,,
82.8,12,0,6.624,14.112,9,0.8,-21.168,24.56,2,0,11.5432,5.67,3,0,0.1134,,,,,,,
170.24,2,0.2,53.2,22.2,5,0,10.434,3.048,1,0.2,1.0668,25.86,3,0,6.7236,,,,,,,
100.792,1,0.2,6.2995,36.336,3,0.2,-7.2672,49.12,4,0,23.0864,276.784,2,0.2,89.9548,,,,,,,
333.999,3,0.15,3.9294,666.248,1,0.2,-149.9058,4355.168,4,0.2,1415.4296,110.352,3,0.2,8.2764,,,,,,,
19.456,4,0.2,3.4048,52.512,6,0.2,19.692,388.704,6,0.2,-4.8588,15.47,7,0,4.1769,,,,,,,
13,5,0.2,1.3,190.72,1,0.2,11.92,8.26,2,0,3.7996,7.16,2,0,3.4368,,,,,,,
14.56,2,0,5.5328,10.752,4,0.2,3.36,17.04,4,0,6.9864,18.16,2,0.2,1.816,,,,,,,
646.74,6,0,258.696,152.94,3,0,41.2938,34.4,5,0,15.824,11.84,8,0,5.6832,,,,,,,
45.48,4,0,15.918,283.92,4,0,70.98,36.24,5,0.2,11.325,62.72,4,0,24.4608,,,,,,,
21.36,2,0,5.7672,646.776,9,0.2,-145.5246,23.2,4,0,10.44,2939.93,7,0,764.3818,,,,,,,
93.024,3,0.2,33.7212,250.272,9,0.2,15.642,7.36,2,0,0.1472,14.016,3,0.2,1.752,,,,,,,
218.75,2,0.5,-161.875,11.364,3,0.8,-17.046,104.79,7,0,29.3412,71.976,3,0.2,-8.997,,,,,,,
1256.22,6,0,75.3732,8.72,5,0.2,-1.744,1043.92,4,0,271.4192,107.982,3,0.4,-26.9955,,,,,,,
142.776,1,0.2,17.847,3.96,2,0,0,99.136,4,0.2,30.98,137.94,3,0,35.8644,,,,,,,
60.89,1,0,15.2225,2.61,1,0,1.2006,50.96,7,0,25.48,239.97,3,0,26.3967,,,,,,,
7.218,3,0.7,-5.5338,160.72,14,0,78.7528,49.536,3,0.2,17.3376,37.74,3,0,12.8316,,,,,,,
43.188,4,0.7,-31.6712,19.92,4,0,9.7608,35.952,3,0.2,3.5952,279.9,5,0,137.151,,,,,,,
131.904,3,0.2,47.8152,7.3,2,0,2.19,2396.2656,4,0.32,-317.1528,449.91,9,0,157.4685,,,,,,,
3.282,2,0.7,-2.6256,51.52,4,0,1.5456,131.136,4,0.2,-32.784,12.128,4,0.8,-20.6176,,,,,,,
21.168,9,0.2,2.3814,70.98,1,0,4.9686,57.584,2,0.2,0.7198,8.34,3,0,2.1684,,,,,,,
55.188,2,0.4,-10.1178,294.93,3,0,144.5157,383.8,5,0.2,38.38,8.57,1,0,2.2282,,,,,,,
8.69,5,0.8,-14.773,301.96,2,0,87.5684,189.588,2,0.7,-145.3508,119.616,8,0.2,40.3704,,,,,,,
332.94,3,0,53.2704,555.21,5,0.1,178.901,408.744,7,0.2,76.6395,5.22,2,0,2.4012,,,,,,,
66.3,3,0,8.619,523.48,4,0,130.87,291.96,5,0.2,54.7425,4.768,2,0.2,0.4768,,,,,,,
5.58,1,0,2.1762,161.82,9,0,46.9278,4.768,2,0.2,-0.7748,12.96,2,0,6.2208,,,,,,,
177.536,4,0.2,62.1376,392.94,3,0,43.2234,714.3,5,0,207.147,94.85,5,0,45.528,,,,,,,
129.568,2,0.2,-24.294,999.432,7,0.2,124.929,1007.979,3,0.3,43.1991,13.48,1,0,3.5048,,,,,,,
284.82,1,0,74.0532,724.08,14,0.2,-135.765,313.488,7,0.2,113.6394,14.91,3,0,4.6221,,,,,,,
36.84,3,0,10.3152,918.785,5,0.3,-118.1295,12.22,1,0,3.666,18.28,2,0,9.14,,,,,,,
10.368,2,0.2,3.6288,2.724,3,0.8,-4.2222,194.94,3,0,23.3928,207,3,0,51.75,,,,,,,
166.84,5,0.2,18.7695,166.24,1,0,24.936,70.95,3,0,20.5755,32.35,5,0,16.175,,,,,,,
79.984,2,0.2,13.9972,33.4,5,0,16.032,91.36,4,0,42.0256,7.71,1,0,3.4695,,,,,,,
62.31,3,0,22.4316,198.272,8,0.2,17.3488,242.94,3,0,29.1528,40.3,2,0,10.881,,,,,,,
25.16,5,0.6,-11.322,47.36,4,0.2,17.76,22.05,7,0,10.584,34.58,7,0,14.5236,,,,,,,
46.72,8,0.2,15.768,200.984,7,0.2,62.8075,59.52,3,0,15.4752,129.3,2,0,6.465,,,,,,,
55.48,1,0,26.6304,97.696,4,0.2,31.7512,161.94,3,0,9.7164,12.74,7,0,5.733,,,,,,,
32.432,2,0.2,3.2432,2.696,1,0.2,0.8088,263.88,6,0,71.2476,8.82,3,0,2.3814,,,,,,,
20.32,4,0,6.9088,18.588,2,0.7,-13.6312,30.48,3,0,7.9248,120.784,1,0.2,-13.5882,,,,,,,
59.808,3,0.2,19.4376,4.896,3,0.7,-3.4272,9.84,3,0,2.8536,419.136,4,0.2,-68.1096,,,,,,,
457.568,2,0.2,51.4764,369.912,3,0.2,-13.8717,35.12,4,0,9.1312,69.375,1,0.5,-47.175,,,,,,,
634.116,6,0.3,-172.1172,79.92,4,0,28.7712,63.88,4,0,24.9132,31.68,4,0.2,2.772,,,,,,,
159.98,2,0,57.5928,58.32,9,0,27.9936,747.558,3,0.3,-96.1146,2003.168,4,0.2,250.396,,,,,,,
11.36,2,0,5.3392,107.982,3,0.4,-26.9955,8.928,2,0.2,3.348,9.344,2,0.2,3.1536,,,,,,,
50.94,3,0,25.47,544.008,3,0.2,40.8006,23.56,5,0.2,7.068,604.768,4,0.2,60.4768,,,,,,,
5.64,3,0,2.7072,59.94,3,0,28.1718,1272.63,6,0.5,-814.4832,59.97,5,0.4,-11.994,,,,,,,
362.25,6,0.3,0,23.92,4,0,11.7208,28.485,5,0.7,-20.889,78.304,2,0.2,29.364,,,,,,,
359.32,4,0,7.1864,4.28,1,0,1.926,185.376,2,0.2,-34.758,21.456,9,0.2,6.9732,,,,,,,
24.56,2,0,6.8768,32.07,5,0.7,-22.449,78.272,2,0.2,5.8704,86.26,2,0,29.3284,,,,,,,
99.98,2,0,42.9914,24,2,0.2,-2.7,4.788,3,0.8,-7.9002,139.04,4,0,38.9312,,,,,,,
572.58,6,0,34.3548,35.49,1,0.5,-15.6156,95.76,6,0.2,7.182,46.8,4,0,16.38,,,,,,,
1325.85,5,0,238.653,47.984,2,0.2,0.5998,40.2,3,0,19.296,210.58,2,0,12.6348,,,,,,,
116.784,2,0.2,21.897,186.69,3,0,87.7443,14.7,5,0,6.615,30.96,2,0.2,10.062,,,,,,,
19.9,5,0,6.567,348.928,2,0.2,34.8928,704.25,5,0,84.51,239.984,2,0.2,38.9974,,,,,,,
37.408,7,0.2,13.0928,143.96,4,0,69.1008,93.98,2,0,13.1572,5.229,3,0.7,-4.1832,,,,,,,
63.552,6,0.6,-34.9536,15.42,1,0,4.1634,189.882,3,0.4,-94.941,285.552,2,0.2,35.694,,,,,,,
32.76,7,0.2,3.6855,43.04,8,0,21.0896,119.616,8,0.2,40.3704,3.882,2,0.7,-2.588,,,,,,,
9.96,2,0,4.5816,332.94,3,0,79.9056,255.76,4,0,81.8432,115.296,3,0.2,40.3536,,,,,,,
21.72,4,0,10.6428,132.79,7,0,63.7392,241.568,2,0.2,18.1176,5.184,1,0.2,1.8144,,,,,,,
43.176,3,0.2,4.3176,12.96,2,0,6.2208,69.3,9,0,22.869,65.584,2,0.2,23.7742,,,,,,,
1983.968,4,0.2,247.996,21.56,7,0,10.3488,22.62,2,0.7,-15.08,22.2,1,0.6,-26.085,,,,,,,
11.52,4,0,3.2256,283.92,5,0.2,17.745,14.952,2,0.7,-11.9616,419.4,5,0.2,146.79,,,,,,,
376.509,3,0.3,-43.0296,28.4,2,0,11.076,801.568,2,0.2,50.098,32.67,3,0,8.4942,,,,,,,
213.92,4,0,62.0368,149.97,3,0,50.9898,2.376,3,0.7,-1.9008,243.992,4,0.8,-426.986,,,,,,,
33.9,2,0,2.034,51.84,8,0,24.8832,32.792,1,0.2,11.8871,7.12,5,0.2,0.712,,,,,,,
41.472,8,0.2,14.5152,60.45,3,0,16.3215,7.152,3,0.2,0.7152,1640.7,5,0,459.396,,,,,,,
3.168,3,0.7,-2.4288,11.52,4,0,3.3408,55.176,3,0.2,-12.4146,371.2,5,0.2,41.76,,,,,,,
302.45,5,0.5,-199.617,186.048,4,0.2,9.3024,66.26,2,0,27.1666,359.97,3,0,79.1934,,,,,,,
31.086,3,0.7,-22.7964,83.72,7,0,23.4416,979.95,5,0,274.386,240.784,1,0.2,30.098,,,,,,,
335.52,4,0.2,117.432,287.94,3,0,77.7438,22.75,5,0,11.375,227.46,6,0,65.9634,,,,,,,
299.97,3,0,131.9868,34.44,3,0,17.22,16.768,2,0.2,1.4672,46.24,4,0.2,15.606,,,,,,,
399.96,4,0,139.986,30.84,2,0,8.3268,380.864,8,0.2,38.0864,29.9,5,0,13.455,,,,,,,
51.184,4,0.8,-79.3352,13.944,3,0.2,4.5318,1121.568,2,0.2,0,252.784,4,0.8,-417.0936,,,,,,,
383.976,3,0.2,81.5949,22.2,6,0,9.102,20.7,2,0,9.936,127.984,2,0.2,15.998,,,,,,,
1089.75,3,0,305.13,85.14,3,0,34.9074,1335.68,4,0.2,-217.048,3.984,2,0.6,-2.6892,,,,,,,
447.84,8,0,219.4416,21.99,1,0,10.5552,32.4,5,0,15.552,12.992,2,0.8,-32.48,,,,,,,
16.4,5,0,4.264,406.6,5,0,113.848,8.82,3,0,2.3814,21.12,4,0,6.5472,,,,,,,
7.36,2,0,0.1472,46.2,4,0,12.936,84.784,2,0.2,-20.1362,354.9,5,0,17.745,,,,,,,
23.1,2,0,10.626,28.84,2,0,9.5172,20.736,4,0.2,7.2576,203.983,2,0.15,16.7986,,,,,,,
3.438,2,0.7,-2.5212,12.96,2,0,6.2208,16.821,3,0.7,-12.8961,23.12,4,0,11.3288,,,,,,,
626.352,3,0.2,-23.4882,134.48,4,0,34.9648,10.368,2,0.2,3.6288,21.336,7,0.2,7.7343,,,,,,,
44.91,6,0.7,-35.928,32.4,5,0,15.552,11.632,2,0.2,1.0178,963.136,4,0.2,108.3528,,,,,,,
11.36,2,0,5.2256,540.57,3,0,140.5482,143.982,3,0.4,-28.7964,88.776,3,0.2,7.7679,,,,,,,
106.344,7,0.2,37.2204,167.76,5,0.2,62.91,494.376,4,0.4,-115.3544,20.7,2,0,9.936,,,,,,,
5.892,4,0.7,-4.1244,393.165,3,0.5,-204.4458,5.84,2,0.2,0.73,147.568,2,0.2,-3.6892,,,,,,,
48.712,1,0.2,5.4801,204.6,2,0,53.196,369.576,3,0.2,41.5773,6.63,3,0,1.7901,,,,,,,
34.68,6,0,16.9932,6.24,2,0,3.0576,15.712,4,0.2,5.6956,799.96,4,0,343.9828,,,,,,,
103.6,7,0,51.8,34.02,3,0,16.6698,8.448,2,0.2,2.64,107.53,1,0,21.506,,,,,,,
436.704,6,0.2,21.8352,1.112,2,0.8,-1.8904,728.946,9,0.4,-157.9383,25.02,3,0,6.5052,,,,,,,
481.568,2,0.2,54.1764,1166.92,5,0.2,131.2785,243.384,3,0.2,-51.7191,10.71,3,0,2.7846,,,,,,,
8.568,3,0.8,-14.5656,10.67,1,0,4.9082,119.8,5,0.2,29.95,17.94,3,0,8.7906,,,,,,,
24.56,2,0,6.8768,36.63,3,0,9.8901,300.768,4,0.2,30.0768,90.64,8,0,38.9752,,,,,,,
15.552,3,0.2,5.4432,24.1,5,0,9.158,18.882,3,0.7,-13.8468,37.94,2,0,18.2112,,,,,,,
335.944,7,0.2,41.993,33.11,7,0,12.9129,122.328,3,0.2,12.2328,579.51,3,0,81.1314,,,,,,,
4.608,2,0.2,1.6704,2309.65,7,0,762.1845,1049.2,5,0,272.792,14.99,1,0,7.3451,,,,,,,
8.32,5,0.2,2.288,1090.782,7,0.4,-290.8752,15.424,4,0.2,5.0128,18.368,2,0.2,6.1992,,,,,,,
61.96,4,0.5,-53.2856,19.44,3,0,9.3312,18.84,3,0,6.0288,600.558,3,0.3,-8.5794,,,,,,,
149.95,5,0,65.978,484.65,3,0,92.0835,31.56,5,0.2,9.8625,50.352,3,0.2,-8.1822,,,,,,,
127.104,6,0.2,28.5984,115.296,3,0.2,40.3536,30.144,2,0.2,3.0144,28.032,6,0.2,3.504,,,,,,,
3.392,1,0.2,0.8056,7.08,3,0.2,2.478,14.8,4,0,6.068,7.692,1,0.6,-3.6537,,,,,,,
559.984,2,0.2,55.9984,4.401,3,0.7,-3.5208,302.376,3,0.2,22.6782,480.96,3,0.5,-269.3376,,,,,,,
1139.92,4,0,284.98,1618.37,13,0,356.0414,316,4,0,31.6,124.792,1,0.2,10.9193,,,,,,,
2715.93,7,0,1276.4871,99.6,1,0,36.852,379.4,10,0,178.318,29.16,3,0,8.4564,,,,,,,
