Sales 2016,Profit 2016,Sales 2017,Profit 2017,Sales 2018,Profit 2018,Sales 2019,Profit 2019,,z-Test: Two Sample for Means,,
11.52,3.2256,283.92,17.745,14.952,-11.9616,419.4,146.79,,,,
376.509,-43.0296,28.4,11.076,801.568,50.098,32.67,8.4942,,,,
213.92,62.0368,149.97,50.9898,2.376,-1.9008,243.992,-426.986,,,,
33.9,2.034,51.84,24.8832,32.792,11.8871,7.12,0.712,,,,
41.472,14.5152,60.45,16.3215,7.152,0.7152,1640.7,459.396,,,,
3.168,-2.4288,11.52,3.3408,55.176,-12.4146,371.2,41.76,,,,
302.45,-199.617,186.048,9.3024,66.26,27.1666,359.97,79.1934,,,,
31.086,-22.7964,83.72,23.4416,979.95,274.386,240.784,30.098,,,,
335.52,117.432,287.94,77.7438,22.75,11.375,227.46,65.9634,,,,
299.97,131.9868,34.44,17.22,16.768,1.4672,46.24,15.606,,,,
399.96,139.986,30.84,8.3268,380.864,38.0864,29.9,13.455,,,,
51.184,-79.3352,13.944,4.5318,1121.568,0,252.784,-417.0936,,,,
383.976,81.5949,22.2,9.102,20.7,9.936,127.984,15.998,,,,
1089.75,305.13,85.14,34.9074,1335.68,-217.048,3.984,-2.6892,,,,
447.84,219.4416,21.99,10.5552,32.4,15.552,12.992,-32.48,,,,
16.4,4.264,406.6,113.848,8.82,2.3814,21.12,6.5472,,,,
7.36,0.1472,46.2,12.936,84.784,-20.1362,354.9,17.745,,,,
23.1,10.626,28.84,9.5172,20.736,7.2576,203.983,16.7986,,,,
3.438,-2.5212,12.96,6.2208,16.821,-12.8961,23.12,11.3288,,,,
626.352,-23.4882,134.48,34.9648,10.368,3.6288,21.336,7.7343,,,,
44.91,-35.928,32.4,15.552,11.632,1.0178,963.136,108.3528,,,,
11.36,5.2256,540.57,140.5482,143.982,-28.7964,88.776,7.7679,,,,
106.344,37.2204,167.76,62.91,494.376,-115.3544,20.7,9.936,,,,
5.892,-4.1244,393.165,-204.4458,5.84,0.73,147.568,-3.6892,,,,
48.712,5.4801,204.6,53.196,369.576,41.5773,6.63,1.7901,,,,
34.68,16.9932,6.24,3.0576,15.712,5.6956,799.96,343.9828,,,,
103.6,51.8,34.02,16.6698,8.448,2.64,107.53,21.506,,,,
436.704,21.8352,1.112,-1.8904,728.946,-157.9383,25.02,6.5052,,,,
481.568,54.1764,1166.92,131.2785,243.384,-51.7191,10.71,2.7846,,,,
8.568,-14.5656,10.67,4.9082,119.8,29.95,17.94,8.7906,,,,
24.56,6.8768,36.63,9.8901,300.768,30.0768,90.64,38.9752,,,,
15.552,5.4432,24.1,9.158,18.882,-13.8468,37.94,18.2112,,,,
335.944,41.993,33.11,12.9129,122.328,12.2328,579.51,81.1314,,,,
4.608,1.6704,2309.65,762.1845,1049.2,272.792,14.99,7.3451,,,,
8.32,2.288,1090.782,-290.8752,15.424,5.0128,18.368,6.1992,,,,
61.96,-53.2856,19.44,9.3312,18.84,6.0288,600.558,-8.5794,,,,
149.95,65.978,484.65,92.0835,31.56,9.8625,50.352,-8.1822,,,,
127.104,28.5984,115.296,40.3536,30.144,3.0144,28.032,3.504,,,,
3.392,0.8056,7.08,2.478,14.8,6.068,7.692,-3.6537,,,,
559.984,55.9984,4.401,-3.5208,302.376,22.6782,480.96,-269.3376,,,,
1139.92,284.98,1618.37,356.0414,316,31.6,124.792,10.9193,,,,
2715.93,1276.4871,99.6,36.852,379.4,178.318,29.16,8.4564,,,,
617.97,173.0316,32.4,15.552,113.552,8.5164,11.76,5.7624,,,,
45.696,5.1408,13.96,6.7008,3.318,-2.6544,166.45,39.948,,,,
21.84,10.92,155.82,63.8862,134.288,45.3222,89.0664,-17.0274,,,,
15.6,7.644,124.95,2.499,701.372,-50.098,175.44,52.632,,,,
1579.746,-447.5947,601.65,156.429,2.308,-3.462,438.336,-87.6672,,,,
1071.576,-553.6476,22.74,8.8686,459.95,18.398,455.97,-106.393,,,,
14.62,6.8714,1267.53,316.8825,10.74,5.2626,5.715,-4.7625,,,,
1113.504,125.2692,1379.92,648.5624,14.352,4.6644,57.594,-11.5188,,,,
217.44,91.3248,6.208,2.1728,64.96,2.5984,30.144,8.2896,,,,
613.908,-122.7816,36.624,13.734,68.6,18.522,899.43,-12.849,,,,
124.2,-31.05,168.464,-29.4812,209.88,35.6796,167.976,10.4985,,,,
18.588,-13.6312,6.72,2.436,146.82,73.41,109.53,47.0979,,,,
30.768,8.0766,282.888,56.5776,1652.94,231.4116,9.82,4.8118,,,,
30.072,10.1493,11.16,4.3524,296.37,80.0199,1245.86,361.2994,,,,
64.864,6.4864,108.4,22.764,45.584,5.1282,11.22,0.2244,,,,
122.352,15.294,82.344,27.7911,182.72,84.0512,12.84,3.4668,,,,
1198.33,70.49,9.088,3.2944,400.032,-153.3456,44.67,12.0609,,,,
8.72,2.8776,107.772,-29.2524,33.63,10.089,22.23,7.3359,,,,
6.48,3.1104,45.216,4.5216,542.646,102.4998,215.968,18.8972,,,,
686.32,223.054,10.416,-2.2134,6.3,3.024,6.56,1.9024,,,,
62.18,16.7886,7.872,1.2792,51.52,-10.948,13.11,3.4086,,,,
122.48,0,118.782,-27.7158,3.528,1.1466,9.432,3.0654,,,,
111,14.43,1.448,0.2353,4.624,1.6762,333.576,25.0182,,,,
62.31,29.2857,55.47,-46.225,55.168,6.2064,31.992,4.7988,,,,
4.992,1.3728,25.176,-18.4624,11.992,0.8994,51.168,-6.396,,,,
53.94,15.6426,19.46,5.0596,1199.976,374.9925,10.64,3.857,,,,
9.99,4.5954,19.92,9.3624,383.438,-167.3184,68.704,16.3172,,,,
125.76,40.872,1106.91,121.7601,641.96,179.7488,386.91,-185.7168,,,,
25.32,9.1785,120.15,33.642,1363.96,85.2475,47.904,-2.994,,,,
46.8,21.06,219.184,19.1786,355.32,99.4896,37.44,16.848,,,,
22.38,10.7424,28.9,14.161,12.96,6.2208,8.4,0.336,,,,
16.52,5.5755,355.96,103.2284,5.344,1.8704,71.96,25.186,,,,
11.56,5.4332,279.9,137.151,35.216,2.6412,4.956,-3.7996,,,,
1322.93,357.1911,619.95,111.591,23.696,6.5164,123.92,38.725,,,,
3.76,1.0904,4.36,2.0492,265.475,-111.4995,1319.8,214.4675,,,,
12.096,4.2336,15.28,7.4872,21.072,1.5804,1.788,-3.0396,,,,
485.88,9.7176,10.16,2.6416,37.44,11.7,196.784,-22.1382,,,,
25.92,12.4416,101.88,50.94,26.976,8.7672,231.92,5.798,,,,
197.58,53.3466,644.076,107.346,11.36,3.2944,81.92,22.1184,,,,
19.44,9.3312,5.84,2.628,14.62,6.8714,889.536,66.7152,,,,
220.776,-44.1552,12.76,5.8696,5.16,1.3416,892.224,89.2224,,,,
20.016,5.5044,10.95,0.438,38.88,18.6624,223.92,109.7208,,,,
399.96,34.9965,599.98,209.993,185.88,50.1876,23.12,11.3288,,,,
158.9,7.945,8.352,1.2528,44.46,14.6718,356.79,99.9012,,,,
32.952,6.5904,447.93,49.2723,242.94,9.7176,91.96,15.6332,,,,
218.376,-10.9188,5.176,-7.764,191.472,40.6878,258.576,19.3932,,,,
314.352,-35.3646,50.112,16.2864,5.248,0.5904,29.6,13.32,,,,
142.86,41.4294,15.552,5.4432,59.184,5.1786,9.84,4.7232,,,,
40.48,14.5728,15.712,2.5532,15.936,5.1792,7.78,3.501,,,,
227.976,28.497,24.672,2.1588,1141.47,-760.98,6.976,-1.3952,,,,
159.98,57.5928,55.968,-2.0988,280.782,-46.797,12.222,-20.1663,,,,
281.424,-35.178,2.78,0.7228,322.59,64.518,196.776,14.7582,,,,
479.97,163.1898,79.96,35.982,29.99,13.1956,479.94,52.7934,,,,
46.26,12.4902,1099.96,285.9896,371.97,66.9546,59.52,15.4752,,,,
17.46,-30.555,2.772,-4.851,31.4,10.048,57.96,27.2412,,,,
1.08,-1.728,15.48,4.4892,155.82,42.0714,441.96,101.6508,,,,
7.96,-13.93,32.94,9.2232,70.008,24.5028,68.04,33.3396,,,,
140.736,52.776,114.2,52.532,15.648,5.0856,18.528,-12.352,,,,
93.78,36.5742,3.08,1.4784,8.904,-6.5296,107.648,33.64,,,,
47.18,23.59,845.728,84.5728,20.04,9.6192,0.556,-0.9452,,,,
19.68,5.7072,26.96,7.0096,64.96,2.5984,72.8,19.656,,,,
53.4,25.098,61.96,4.3372,12.96,6.2208,26.88,9.744,,,,
35.88,17.2224,51.072,5.1072,149.352,50.4063,180.98,47.0548,,,,
366.786,65.2064,47.82,14.346,12.992,-0.812,99.98,42.9914,,,,
19.52,5.368,13.05,6.003,841.568,294.5488,1049.44,440.7648,,,,
213.216,15.9912,590.058,-786.744,45.056,15.2064,170.352,-17.0352,,,,
1184.72,106.6248,14.04,1.5795,29.718,-21.7932,399.672,-14.9877,,,,
29.6,14.8,912.75,118.6575,15.552,5.4432,9.32,2.7028,,,,
17.088,5.5536,946.344,118.293,447.696,33.5772,15.25,7.015,,,,
13.184,4.7792,151.2,32.13,17.12,8.0464,89.568,32.4684,,,,
255.42,104.7222,4.928,-1.4784,6.096,2.2098,103.5,-77.625,,,,
101.96,27.5292,86.272,31.2736,1114.272,41.7852,2.464,0.8624,,,,
259.74,124.6752,72.588,-48.392,21.88,10.94,8.72,0.654,,,,
20.94,9.8418,60.672,14.4096,3.282,-2.6256,25.06,11.7782,,,,
110.96,53.2608,77.031,-59.0571,599.292,93.2232,7.9,2.528,,,,
10.304,-2.1896,119.904,-1.4988,14.624,5.484,221.16,57.5016,,,,
330.588,-143.2548,263.96,23.0965,10.23,4.9104,127.96,62.7004,,,,
47.79,16.2486,363.648,-86.3664,154.9,69.705,18.69,9.1581,,,,
334.768,108.7996,9.728,3.2832,44.02,11.4452,42.68,19.6328,,,,
152.76,74.8524,14.75,7.08,15.552,5.4432,299.97,125.9874,,,,
7.27,1.9629,29.8,9.3125,63.312,20.5764,262.24,78.672,,,,
890.841,-152.7156,427.42,196.6132,15.588,-9.8724,234.36,112.4928,,,,
2.502,-1.7514,263.88,42.8805,15.696,5.1012,26.38,12.1348,,,,
205.666,-12.098,2453.43,-350.49,2.628,-1.9272,71.97,16.5531,,,,
127.302,-9.093,139.424,17.428,14.427,-10.5798,14.976,5.4288,,,,
67.8,4.068,88.752,11.094,86.62,8.662,67.78,16.945,,,,
3.76,1.316,2.025,-1.35,697.16,146.4036,23.88,8.1192,,,,
5.04,1.764,52.2,23.49,31.86,11.151,11.52,5.6448,,,,
40.05,11.214,55.424,19.3984,722.352,90.294,286.93,140.5957,,,,
83.84,27.248,255.968,31.996,1363.96,85.2475,206.384,23.2182,,,,
13.272,4.3134,6.848,0.5992,102.36,-3.8385,4.928,1.7248,,,,
1125.488,98.4802,6.688,-4.0128,4.416,1.6008,63.488,4.7616,,,,
10.464,1.7004,1212.848,106.1242,194.848,12.178,49.08,4.908,,,,
82.896,29.0136,89.97,37.7874,29.472,9.9468,25.92,9.072,,,,
34.24,16.0928,42.6,16.614,6.27,-4.598,91.59,42.1314,,,,
177.68,46.1968,6.72,3.36,4.368,-3.3488,647.84,168.4384,,,,
180.96,67.86,1004.976,-175.8708,31.984,1.999,20.7,9.936,,,,
21.56,10.3488,206.112,48.9516,40.88,10.6288,171.2,64.2,,,,
18.9,9.072,19.92,6.723,836.592,-264.9208,3.36,0.8736,,,,
354.9,17.745,198.272,61.96,26.38,12.1348,199.98,69.993,,,,
5.47,2.3521,247.104,-58.6872,362.92,105.2468,479.984,59.998,,,,
21.84,10.4832,86.304,9.7092,4899.93,2400.9657,30.84,9.6375,,,,
167.97,40.3128,26.18,0.5236,6.48,3.1104,5.248,0.5904,,,,
154.764,-36.1116,7.3,3.431,71.976,7.1976,35.91,-8.379,,,,
40.68,-9.153,74.352,23.235,3.15,1.512,6.696,0.5022,,,,
653.55,111.1035,335.52,117.432,7.04,2.0416,43.872,11.5164,,,,
13.44,6.5856,23.912,-40.6504,8.73,4.1031,53.982,-10.7964,,,,
91.96,15.6332,27.056,2.3674,29.29,9.6657,48.784,3.6588,,,,
201.584,20.1584,5.28,1.5312,8.64,2.5056,13.092,-10.0372,,,,
83.984,31.494,171.96,44.7096,22.92,11.2308,111.96,21.2724,,,,
15.552,5.4432,11.352,4.1151,100.704,-16.3644,933.408,-173.3472,,,,
669.08,-167.27,453.576,39.6879,2.328,-0.7566,895.92,421.0824,,,,
438.336,-87.6672,21.48,-0.2685,10.78,-17.248,776.85,-181.265,,,,
12.624,3.945,8.784,-13.6152,58.368,21.888,12.294,-8.6058,,,,
16.36,1.636,307.98,89.3142,40.968,13.8267,154.764,-46.4292,,,,
340.144,21.259,382.806,-153.1224,71.96,25.186,43.28,3.246,,,,
33.11,12.9129,41.96,2.9372,10.368,3.6288,63.88,24.9132,,,,
64.784,-14.5764,1217.568,456.588,1.192,-2.0264,26.72,11.7568,,,,
32.382,4.3176,47.04,18.3456,6.3,3.024,69.93,32.1678,,,,
8.96,2.7776,6.16,2.9568,343.92,75.6624,242.94,9.7176,,,,
399.54,-559.356,979.95,274.386,40.99,20.0851,40.41,18.5886,,,,
1215.92,316.1392,143.7,68.976,63.9,28.755,314.55,150.984,,,,
